time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,783.0,71.0,0.0,1.0,0.0,1.0,46.0,31.0,0.0
2.0,922.0,258.0,0.0,1.0,0.0,1.0,46.0,55.0,0.0
3.0,777.0,596.0,0.0,1.0,0.0,1.0,32.0,68.0,0.0
4.0,576.0,1028.0,0.0,1.0,0.0,1.0,56.0,83.0,0.0
5.0,256.0,1460.0,0.0,1.0,0.0,1.0,41.0,77.0,3.0
6.0,0.0,1096.0,1.0,0.0,1.0,0.0,2.0,60.0,726.0
7.0,0.0,529.0,1.0,0.0,1.0,0.0,4.0,41.0,1346.0
8.0,0.0,345.0,1.0,0.0,1.0,0.0,3.0,20.0,1378.0
9.0,0.0,278.0,1.0,0.0,1.0,0.0,6.0,12.0,1240.0
10.0,0.0,222.0,1.0,0.0,1.0,0.0,4.0,5.0,1121.0
11.0,0.0,223.0,1.0,0.0,1.0,0.0,8.0,3.0,966.0
12.0,0.0,178.0,1.0,0.0,1.0,0.0,1.0,1.0,830.0
13.0,0.0,199.0,1.0,0.0,1.0,0.0,3.0,1.0,666.0
14.0,0.0,344.0,1.0,0.0,1.0,0.0,10.0,1.0,422.0
15.0,0.0,302.0,1.0,0.0,1.0,0.0,2.0,0.0,400.0
16.0,1.0,304.0,0.0,1.0,0.0,1.0,5.0,0.0,320.0
17.0,1.0,294.0,1.0,0.0,1.0,0.0,5.0,1.0,270.0
18.0,1.0,262.0,1.0,0.0,1.0,0.0,4.0,0.0,256.0
19.0,2.0,348.0,1.0,0.0,1.0,0.0,8.0,2.0,138.0
20.0,0.0,338.0,1.0,0.0,1.0,0.0,3.0,2.0,129.0
21.0,2.0,354.0,1.0,0.0,1.0,0.0,3.0,2.0,111.0
22.0,2.0,276.0,1.0,0.0,1.0,0.0,7.0,1.0,167.0
23.0,2.0,243.0,1.0,0.0,1.0,0.0,9.0,2.0,170.0
24.0,5.0,296.0,1.0,0.0,1.0,0.0,13.0,2.0,104.0
25.0,157.0,406.0,0.0,1.0,0.0,1.0,32.0,6.0,1.0
26.0,748.0,498.0,0.0,1.0,0.0,1.0,50.0,37.0,0.0
27.0,604.0,746.0,0.0,1.0,0.0,1.0,45.0,49.0,1.0
28.0,578.0,1009.0,0.0,1.0,0.0,1.0,53.0,51.0,2.0
29.0,329.0,1267.0,0.0,1.0,0.0,1.0,43.0,52.0,3.0
30.0,184.0,1542.0,0.0,1.0,0.0,1.0,45.0,52.0,3.0
31.0,0.0,1505.0,1.0,0.0,1.0,0.0,8.0,53.0,313.0
32.0,0.0,689.0,1.0,0.0,1.0,0.0,5.0,31.0,1188.0
33.0,0.0,344.0,1.0,0.0,1.0,0.0,4.0,21.0,1397.0
34.0,0.0,281.0,1.0,0.0,1.0,0.0,4.0,9.0,1273.0
35.0,0.0,244.0,1.0,0.0,1.0,0.0,5.0,3.0,1128.0
36.0,0.0,233.0,1.0,0.0,1.0,0.0,4.0,0.0,930.0
37.0,0.0,246.0,1.0,0.0,1.0,0.0,5.0,0.0,749.0
38.0,0.0,219.0,1.0,0.0,1.0,0.0,8.0,0.0,623.0
39.0,1.0,227.0,1.0,0.0,1.0,0.0,6.0,0.0,502.0
40.0,0.0,253.0,1.0,0.0,1.0,0.0,3.0,0.0,397.0
41.0,0.0,214.0,1.0,0.0,1.0,0.0,4.0,0.0,352.0
42.0,0.0,261.0,1.0,0.0,1.0,0.0,9.0,0.0,240.0
43.0,0.0,280.0,1.0,0.0,1.0,0.0,3.0,1.0,193.0
44.0,0.0,264.0,1.0,0.0,1.0,0.0,2.0,0.0,178.0
45.0,1.0,222.0,1.0,0.0,1.0,0.0,4.0,0.0,182.0
46.0,27.0,385.0,1.0,0.0,1.0,0.0,8.0,2.0,10.0
47.0,546.0,462.0,0.0,1.0,1.0,0.0,50.0,31.0,0.0
48.0,674.0,680.0,0.0,1.0,0.0,1.0,37.0,58.0,1.0
49.0,614.0,1007.0,0.0,1.0,0.0,1.0,60.0,79.0,1.0
50.0,219.0,1373.0,0.0,1.0,0.0,1.0,38.0,76.0,3.0
51.0,216.0,1744.0,0.0,1.0,1.0,0.0,43.0,84.0,6.0
52.0,0.0,1165.0,1.0,0.0,1.0,0.0,2.0,59.0,897.0
53.0,0.0,600.0,1.0,0.0,1.0,0.0,5.0,35.0,1418.0
54.0,0.0,393.0,1.0,0.0,1.0,0.0,6.0,21.0,1476.0
55.0,1.0,295.0,1.0,0.0,1.0,0.0,5.0,10.0,1385.0
56.0,0.0,249.0,1.0,0.0,1.0,0.0,4.0,6.0,1244.0
57.0,0.0,238.0,1.0,0.0,1.0,0.0,4.0,4.0,1068.0
58.0,0.0,255.0,1.0,0.0,1.0,0.0,7.0,1.0,880.0
59.0,1.0,274.0,1.0,0.0,1.0,0.0,5.0,0.0,695.0
60.0,0.0,318.0,1.0,0.0,1.0,0.0,3.0,0.0,518.0
61.0,0.0,284.0,1.0,0.0,1.0,0.0,6.0,1.0,459.0
62.0,0.0,212.0,1.0,0.0,1.0,0.0,4.0,0.0,456.0
63.0,2.0,244.0,1.0,0.0,1.0,0.0,7.0,1.0,344.0
64.0,47.0,572.0,1.0,0.0,0.0,1.0,18.0,10.0,12.0
65.0,409.0,701.0,0.0,1.0,0.0,1.0,30.0,38.0,0.0
66.0,574.0,902.0,0.0,1.0,1.0,0.0,41.0,56.0,1.0
67.0,335.0,1218.0,1.0,0.0,1.0,0.0,45.0,60.0,2.0
68.0,166.0,1503.0,0.0,1.0,0.0,1.0,34.0,58.0,3.0
69.0,0.0,1401.0,1.0,0.0,1.0,0.0,4.0,48.0,361.0
70.0,0.0,684.0,1.0,0.0,1.0,0.0,7.0,26.0,1073.0
71.0,0.0,495.0,1.0,0.0,1.0,0.0,11.0,17.0,1156.0
72.0,0.0,318.0,1.0,0.0,1.0,0.0,11.0,11.0,1167.0
73.0,0.0,263.0,1.0,0.0,1.0,0.0,3.0,6.0,1034.0
74.0,1.0,235.0,1.0,0.0,1.0,0.0,7.0,2.0,894.0
75.0,0.0,249.0,1.0,0.0,1.0,0.0,3.0,0.0,709.0
76.0,1.0,247.0,1.0,0.0,1.0,0.0,12.0,0.0,591.0
77.0,3.0,307.0,1.0,0.0,1.0,0.0,6.0,0.0,411.0
78.0,0.0,315.0,1.0,0.0,1.0,0.0,2.0,0.0,316.0
79.0,0.0,233.0,1.0,0.0,1.0,0.0,5.0,0.0,330.0
80.0,0.0,313.0,1.0,0.0,1.0,0.0,6.0,1.0,200.0
81.0,0.0,292.0,1.0,0.0,1.0,0.0,4.0,1.0,188.0
82.0,1.0,278.0,1.0,0.0,1.0,0.0,5.0,1.0,173.0
83.0,2.0,288.0,1.0,0.0,1.0,0.0,8.0,1.0,135.0
84.0,21.0,382.0,1.0,0.0,0.0,1.0,10.0,1.0,17.0
85.0,523.0,462.0,0.0,1.0,1.0,0.0,37.0,21.0,0.0
86.0,589.0,633.0,0.0,1.0,0.0,1.0,37.0,45.0,1.0
87.0,743.0,905.0,0.0,1.0,0.0,1.0,42.0,69.0,1.0
88.0,376.0,1302.0,0.0,1.0,0.0,1.0,52.0,78.0,3.0
89.0,108.0,1674.0,0.0,1.0,1.0,0.0,43.0,77.0,6.0
90.0,1.0,965.0,1.0,0.0,1.0,0.0,5.0,45.0,917.0
91.0,0.0,570.0,1.0,0.0,1.0,0.0,16.0,30.0,1231.0
92.0,0.0,379.0,1.0,0.0,1.0,0.0,4.0,20.0,1281.0
93.0,1.0,292.0,1.0,0.0,1.0,0.0,6.0,9.0,1193.0
94.0,0.0,348.0,1.0,0.0,1.0,0.0,10.0,6.0,953.0
95.0,0.0,320.0,1.0,0.0,1.0,0.0,5.0,3.0,810.0
96.0,1.0,264.0,1.0,0.0,1.0,0.0,4.0,2.0,716.0
97.0,0.0,225.0,1.0,0.0,1.0,0.0,2.0,0.0,636.0
98.0,0.0,236.0,1.0,0.0,1.0,0.0,2.0,0.0,532.0
99.0,0.0,240.0,1.0,0.0,1.0,0.0,3.0,0.0,436.0
100.0,0.0,197.0,1.0,0.0,1.0,0.0,3.0,1.0,402.0
101.0,0.0,275.0,1.0,0.0,1.0,0.0,2.0,1.0,269.0
102.0,0.0,191.0,1.0,0.0,1.0,0.0,5.0,0.0,307.0
103.0,0.0,220.0,1.0,0.0,1.0,0.0,3.0,0.0,224.0
104.0,2.0,266.0,1.0,0.0,1.0,0.0,7.0,0.0,148.0
105.0,0.0,219.0,1.0,0.0,1.0,0.0,8.0,1.0,158.0
106.0,1.0,284.0,1.0,0.0,1.0,0.0,3.0,2.0,82.0
107.0,0.0,211.0,1.0,0.0,1.0,0.0,3.0,1.0,140.0
108.0,314.0,354.0,0.0,1.0,0.0,1.0,35.0,11.0,0.0
109.0,603.0,512.0,0.0,1.0,0.0,1.0,45.0,42.0,1.0
110.0,708.0,818.0,0.0,1.0,0.0,1.0,49.0,68.0,0.0
111.0,378.0,1203.0,0.0,1.0,0.0,1.0,43.0,80.0,1.0
112.0,171.0,1597.0,1.0,0.0,1.0,0.0,38.0,74.0,7.0
113.0,0.0,1108.0,1.0,0.0,1.0,0.0,2.0,55.0,791.0
114.0,0.0,651.0,1.0,0.0,1.0,0.0,9.0,30.0,1204.0
115.0,0.0,384.0,1.0,0.0,1.0,0.0,6.0,15.0,1333.0
116.0,0.0,336.0,1.0,0.0,1.0,0.0,8.0,7.0,1183.0
117.0,0.0,303.0,1.0,0.0,1.0,0.0,5.0,5.0,1036.0
118.0,0.0,288.0,1.0,0.0,1.0,0.0,8.0,2.0,870.0
119.0,0.0,270.0,1.0,0.0,1.0,0.0,7.0,2.0,735.0
120.0,0.0,279.0,1.0,0.0,1.0,0.0,8.0,2.0,596.0
121.0,0.0,265.0,1.0,0.0,1.0,0.0,4.0,3.0,501.0
122.0,0.0,304.0,1.0,0.0,1.0,0.0,4.0,2.0,386.0
123.0,0.0,294.0,1.0,0.0,1.0,0.0,7.0,3.0,333.0
124.0,0.0,267.0,1.0,0.0,1.0,0.0,4.0,3.0,317.0
125.0,1.0,264.0,1.0,0.0,1.0,0.0,4.0,1.0,284.0
126.0,1.0,228.0,1.0,0.0,1.0,0.0,5.0,1.0,277.0
127.0,345.0,505.0,0.0,1.0,0.0,1.0,34.0,16.0,2.0
128.0,689.0,660.0,0.0,1.0,0.0,1.0,41.0,56.0,0.0
129.0,592.0,919.0,0.0,1.0,0.0,1.0,53.0,48.0,0.0
130.0,431.0,1213.0,0.0,1.0,0.0,1.0,56.0,62.0,1.0
131.0,351.0,1553.0,0.0,1.0,1.0,0.0,42.0,71.0,2.0
132.0,40.0,1917.0,0.0,1.0,1.0,0.0,43.0,66.0,29.0
133.0,0.0,999.0,1.0,0.0,1.0,0.0,2.0,39.0,1090.0
134.0,0.0,514.0,1.0,0.0,1.0,0.0,9.0,25.0,1458.0
135.0,0.0,363.0,1.0,0.0,1.0,0.0,4.0,15.0,1455.0
136.0,0.0,304.0,1.0,0.0,1.0,0.0,5.0,12.0,1303.0
137.0,0.0,307.0,1.0,0.0,1.0,0.0,3.0,7.0,1110.0
138.0,0.0,271.0,1.0,0.0,1.0,0.0,7.0,2.0,952.0
139.0,0.0,239.0,1.0,0.0,1.0,0.0,3.0,1.0,813.0
