time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,665.0,93.0,1.0,0.0,0.0,1.0,37.0,34.0,1.0
2.0,790.0,354.0,0.0,1.0,1.0,0.0,43.0,64.0,0.0
3.0,851.0,699.0,0.0,1.0,0.0,1.0,59.0,73.0,1.0
4.0,536.0,999.0,0.0,1.0,0.0,1.0,43.0,70.0,1.0
5.0,187.0,1357.0,0.0,1.0,0.0,1.0,37.0,71.0,2.0
6.0,0.0,1193.0,1.0,0.0,1.0,0.0,12.0,54.0,484.0
7.0,0.0,647.0,1.0,0.0,1.0,0.0,2.0,31.0,1067.0
8.0,0.0,401.0,1.0,0.0,1.0,0.0,2.0,16.0,1200.0
9.0,2.0,331.0,1.0,0.0,1.0,0.0,26.0,9.0,1095.0
10.0,0.0,319.0,1.0,0.0,1.0,0.0,10.0,3.0,942.0
11.0,0.0,293.0,1.0,0.0,1.0,0.0,4.0,1.0,800.0
12.0,0.0,230.0,1.0,0.0,1.0,0.0,3.0,1.0,708.0
13.0,0.0,299.0,1.0,0.0,1.0,0.0,5.0,1.0,506.0
14.0,1.0,246.0,1.0,0.0,1.0,0.0,7.0,1.0,472.0
15.0,0.0,272.0,1.0,0.0,1.0,0.0,5.0,0.0,365.0
16.0,0.0,224.0,1.0,0.0,1.0,0.0,6.0,0.0,338.0
17.0,2.0,230.0,0.0,1.0,1.0,0.0,12.0,0.0,281.0
18.0,1.0,273.0,1.0,0.0,1.0,0.0,5.0,0.0,191.0
19.0,16.0,416.0,1.0,0.0,1.0,0.0,14.0,0.0,31.0
20.0,480.0,487.0,0.0,1.0,0.0,1.0,46.0,22.0,0.0
21.0,669.0,699.0,0.0,1.0,0.0,1.0,36.0,58.0,1.0
22.0,455.0,1016.0,1.0,0.0,0.0,1.0,39.0,73.0,2.0
23.0,261.0,1384.0,0.0,1.0,1.0,0.0,47.0,74.0,3.0
24.0,179.0,1743.0,0.0,1.0,0.0,1.0,67.0,74.0,5.0
25.0,0.0,1376.0,1.0,0.0,1.0,0.0,7.0,41.0,610.0
26.0,0.0,673.0,1.0,0.0,1.0,0.0,7.0,24.0,1263.0
27.0,0.0,370.0,1.0,0.0,1.0,0.0,3.0,12.0,1405.0
28.0,1.0,288.0,1.0,0.0,1.0,0.0,2.0,10.0,1283.0
29.0,0.0,211.0,1.0,0.0,1.0,0.0,3.0,7.0,1148.0
30.0,1.0,180.0,1.0,0.0,1.0,0.0,3.0,4.0,968.0
31.0,0.0,251.0,1.0,0.0,1.0,0.0,5.0,2.0,753.0
32.0,0.0,302.0,1.0,0.0,1.0,0.0,2.0,1.0,575.0
33.0,0.0,219.0,1.0,0.0,1.0,0.0,4.0,1.0,560.0
34.0,0.0,317.0,1.0,0.0,1.0,0.0,7.0,0.0,374.0
35.0,0.0,274.0,1.0,0.0,1.0,0.0,2.0,0.0,345.0
36.0,0.0,255.0,1.0,0.0,1.0,0.0,5.0,0.0,298.0
37.0,1.0,329.0,1.0,0.0,1.0,0.0,6.0,0.0,172.0
38.0,0.0,266.0,1.0,0.0,1.0,0.0,3.0,0.0,194.0
39.0,0.0,313.0,1.0,0.0,1.0,0.0,4.0,0.0,119.0
40.0,3.0,263.0,1.0,0.0,1.0,0.0,7.0,1.0,142.0
41.0,2.0,321.0,1.0,0.0,1.0,0.0,6.0,0.0,65.0
42.0,5.0,347.0,1.0,0.0,1.0,0.0,12.0,2.0,46.0
43.0,495.0,454.0,0.0,1.0,0.0,1.0,36.0,19.0,1.0
44.0,835.0,605.0,0.0,1.0,0.0,1.0,52.0,49.0,1.0
45.0,625.0,875.0,0.0,1.0,0.0,1.0,47.0,57.0,1.0
46.0,395.0,1203.0,0.0,1.0,0.0,1.0,32.0,63.0,2.0
47.0,124.0,1533.0,0.0,1.0,1.0,0.0,43.0,61.0,9.0
48.0,1.0,1183.0,1.0,0.0,1.0,0.0,8.0,46.0,616.0
49.0,0.0,623.0,1.0,0.0,1.0,0.0,10.0,29.0,1185.0
50.0,0.0,360.0,1.0,0.0,1.0,0.0,2.0,22.0,1324.0
51.0,0.0,288.0,1.0,0.0,1.0,0.0,8.0,11.0,1207.0
52.0,0.0,271.0,1.0,0.0,1.0,0.0,5.0,6.0,1040.0
53.0,1.0,300.0,1.0,0.0,1.0,0.0,9.0,4.0,836.0
54.0,0.0,240.0,1.0,0.0,1.0,0.0,4.0,2.0,755.0
55.0,0.0,189.0,1.0,0.0,1.0,0.0,1.0,2.0,670.0
56.0,0.0,250.0,1.0,0.0,1.0,0.0,4.0,1.0,499.0
57.0,0.0,226.0,1.0,0.0,1.0,0.0,4.0,1.0,434.0
58.0,0.0,206.0,1.0,0.0,1.0,0.0,4.0,0.0,374.0
59.0,0.0,211.0,1.0,0.0,1.0,0.0,4.0,0.0,305.0
60.0,2.0,338.0,1.0,0.0,1.0,0.0,10.0,0.0,124.0
61.0,372.0,477.0,1.0,0.0,0.0,1.0,36.0,17.0,1.0
62.0,660.0,600.0,0.0,1.0,0.0,1.0,34.0,30.0,0.0
63.0,622.0,797.0,0.0,1.0,1.0,0.0,42.0,52.0,0.0
64.0,400.0,1103.0,0.0,1.0,0.0,1.0,46.0,64.0,2.0
65.0,261.0,1374.0,0.0,1.0,0.0,1.0,42.0,57.0,3.0
66.0,94.0,1662.0,1.0,0.0,1.0,0.0,31.0,67.0,15.0
67.0,1.0,956.0,1.0,0.0,1.0,0.0,8.0,46.0,881.0
68.0,0.0,506.0,1.0,0.0,1.0,0.0,3.0,26.0,1290.0
69.0,0.0,412.0,1.0,0.0,1.0,0.0,13.0,22.0,1219.0
70.0,0.0,271.0,1.0,0.0,1.0,0.0,6.0,14.0,1183.0
71.0,0.0,291.0,1.0,0.0,1.0,0.0,4.0,9.0,1021.0
72.0,0.0,270.0,1.0,0.0,1.0,0.0,9.0,4.0,854.0
73.0,0.0,234.0,1.0,0.0,1.0,0.0,4.0,2.0,753.0
74.0,0.0,252.0,1.0,0.0,1.0,0.0,5.0,2.0,602.0
75.0,1.0,242.0,1.0,0.0,1.0,0.0,3.0,1.0,519.0
