time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,809.0,79.0,0.0,1.0,0.0,1.0,51.0,30.0,0.0
2.0,939.0,303.0,0.0,1.0,1.0,0.0,61.0,68.0,0.0
3.0,648.0,654.0,0.0,1.0,0.0,1.0,48.0,72.0,2.0
4.0,664.0,1044.0,0.0,1.0,0.0,1.0,54.0,81.0,2.0
5.0,331.0,1520.0,1.0,0.0,1.0,0.0,47.0,94.0,3.0
6.0,1.0,1406.0,1.0,0.0,1.0,0.0,4.0,75.0,503.0
7.0,0.0,692.0,1.0,0.0,1.0,0.0,4.0,47.0,1322.0
8.0,0.0,377.0,1.0,0.0,1.0,0.0,3.0,29.0,1568.0
9.0,0.0,282.0,1.0,0.0,1.0,0.0,5.0,20.0,1463.0
10.0,0.0,280.0,1.0,0.0,1.0,0.0,7.0,17.0,1285.0
11.0,0.0,253.0,1.0,0.0,1.0,0.0,6.0,11.0,1135.0
12.0,0.0,249.0,1.0,0.0,1.0,0.0,4.0,8.0,990.0
13.0,0.0,229.0,1.0,0.0,1.0,0.0,2.0,5.0,840.0
14.0,0.0,202.0,1.0,0.0,1.0,0.0,4.0,3.0,729.0
15.0,0.0,214.0,1.0,0.0,1.0,0.0,4.0,1.0,575.0
16.0,0.0,206.0,1.0,0.0,1.0,0.0,2.0,0.0,487.0
17.0,1.0,233.0,1.0,0.0,1.0,0.0,2.0,0.0,364.0
18.0,0.0,219.0,1.0,0.0,1.0,0.0,2.0,0.0,312.0
19.0,2.0,324.0,1.0,0.0,1.0,0.0,10.0,1.0,165.0
20.0,1.0,259.0,1.0,0.0,1.0,0.0,4.0,1.0,204.0
21.0,1.0,293.0,1.0,0.0,1.0,0.0,12.0,3.0,154.0
22.0,0.0,230.0,1.0,0.0,1.0,0.0,6.0,3.0,191.0
23.0,1.0,300.0,1.0,0.0,1.0,0.0,7.0,1.0,100.0
24.0,0.0,216.0,1.0,0.0,1.0,0.0,5.0,3.0,169.0
25.0,58.0,388.0,0.0,1.0,1.0,0.0,23.0,5.0,7.0
26.0,735.0,516.0,0.0,1.0,0.0,1.0,53.0,36.0,1.0
27.0,800.0,732.0,0.0,1.0,0.0,1.0,47.0,51.0,0.0
28.0,642.0,1004.0,0.0,1.0,0.0,1.0,42.0,67.0,1.0
29.0,299.0,1389.0,0.0,1.0,0.0,1.0,47.0,80.0,3.0
30.0,0.0,1430.0,1.0,0.0,1.0,0.0,9.0,59.0,305.0
31.0,0.0,733.0,1.0,0.0,1.0,0.0,9.0,33.0,1059.0
32.0,0.0,493.0,1.0,0.0,1.0,0.0,4.0,16.0,1188.0
33.0,0.0,288.0,1.0,0.0,1.0,0.0,6.0,12.0,1201.0
34.0,0.0,237.0,1.0,0.0,1.0,0.0,3.0,7.0,1042.0
35.0,0.0,203.0,1.0,0.0,1.0,0.0,3.0,4.0,921.0
36.0,0.0,207.0,1.0,0.0,1.0,0.0,6.0,1.0,786.0
37.0,0.0,257.0,1.0,0.0,1.0,0.0,0.0,1.0,600.0
38.0,0.0,221.0,1.0,0.0,1.0,0.0,2.0,0.0,532.0
39.0,0.0,196.0,1.0,0.0,1.0,0.0,3.0,0.0,453.0
40.0,1.0,213.0,1.0,0.0,1.0,0.0,4.0,1.0,361.0
41.0,2.0,206.0,1.0,0.0,0.0,1.0,7.0,0.0,298.0
42.0,0.0,212.0,1.0,0.0,1.0,0.0,4.0,1.0,244.0
43.0,1.0,206.0,1.0,0.0,1.0,0.0,5.0,0.0,200.0
44.0,4.0,263.0,1.0,0.0,1.0,0.0,10.0,0.0,106.0
45.0,0.0,301.0,1.0,0.0,1.0,0.0,2.0,1.0,59.0
46.0,5.0,286.0,1.0,0.0,1.0,0.0,7.0,2.0,64.0
47.0,20.0,340.0,1.0,0.0,1.0,0.0,7.0,2.0,13.0
48.0,656.0,408.0,0.0,1.0,0.0,1.0,56.0,22.0,0.0
49.0,822.0,591.0,0.0,1.0,0.0,1.0,47.0,33.0,1.0
50.0,736.0,781.0,0.0,1.0,1.0,0.0,46.0,47.0,2.0
51.0,487.0,1075.0,0.0,1.0,0.0,1.0,44.0,65.0,0.0
52.0,330.0,1402.0,0.0,1.0,1.0,0.0,47.0,75.0,1.0
53.0,1.0,1689.0,1.0,0.0,1.0,0.0,17.0,76.0,114.0
54.0,0.0,901.0,1.0,0.0,1.0,0.0,5.0,46.0,1036.0
55.0,0.0,516.0,1.0,0.0,1.0,0.0,5.0,27.0,1379.0
56.0,1.0,484.0,1.0,0.0,1.0,0.0,15.0,15.0,1252.0
57.0,0.0,401.0,1.0,0.0,1.0,0.0,7.0,8.0,1158.0
58.0,1.0,347.0,1.0,0.0,1.0,0.0,7.0,7.0,996.0
59.0,0.0,302.0,1.0,0.0,1.0,0.0,5.0,4.0,885.0
60.0,1.0,247.0,1.0,0.0,1.0,0.0,6.0,2.0,791.0
61.0,1.0,228.0,1.0,0.0,1.0,0.0,6.0,0.0,685.0
62.0,0.0,209.0,1.0,0.0,1.0,0.0,7.0,0.0,584.0
63.0,2.0,250.0,1.0,0.0,1.0,0.0,8.0,0.0,441.0
64.0,1.0,267.0,1.0,0.0,1.0,0.0,3.0,0.0,352.0
65.0,1.0,230.0,1.0,0.0,1.0,0.0,6.0,0.0,314.0
66.0,2.0,375.0,1.0,0.0,1.0,0.0,9.0,0.0,117.0
67.0,4.0,348.0,1.0,0.0,1.0,0.0,9.0,1.0,118.0
68.0,2.0,299.0,1.0,0.0,1.0,0.0,2.0,2.0,151.0
69.0,0.0,194.0,1.0,0.0,1.0,0.0,5.0,2.0,215.0
70.0,1.0,261.0,1.0,0.0,1.0,0.0,8.0,2.0,129.0
71.0,2.0,286.0,1.0,0.0,1.0,0.0,3.0,2.0,95.0
72.0,12.0,352.0,1.0,0.0,1.0,0.0,8.0,1.0,22.0
73.0,551.0,401.0,1.0,0.0,0.0,1.0,46.0,21.0,0.0
74.0,771.0,557.0,0.0,1.0,0.0,1.0,56.0,43.0,0.0
75.0,542.0,827.0,0.0,1.0,1.0,0.0,49.0,66.0,0.0
76.0,373.0,1183.0,1.0,0.0,0.0,1.0,40.0,62.0,1.0
77.0,281.0,1489.0,0.0,1.0,0.0,1.0,43.0,53.0,3.0
78.0,42.0,1768.0,1.0,0.0,1.0,0.0,30.0,64.0,24.0
79.0,0.0,844.0,1.0,0.0,1.0,0.0,3.0,41.0,1107.0
80.0,0.0,452.0,1.0,0.0,1.0,0.0,3.0,21.0,1367.0
81.0,0.0,389.0,1.0,0.0,1.0,0.0,7.0,17.0,1285.0
82.0,1.0,289.0,1.0,0.0,1.0,0.0,6.0,11.0,1210.0
83.0,0.0,268.0,1.0,0.0,1.0,0.0,7.0,5.0,1069.0
84.0,0.0,235.0,1.0,0.0,1.0,0.0,4.0,5.0,967.0
85.0,0.0,262.0,1.0,0.0,1.0,0.0,5.0,3.0,786.0
86.0,0.0,285.0,1.0,0.0,1.0,0.0,6.0,1.0,626.0
87.0,0.0,234.0,1.0,0.0,1.0,0.0,7.0,1.0,566.0
88.0,0.0,353.0,1.0,0.0,1.0,0.0,6.0,0.0,348.0
89.0,1.0,294.0,1.0,0.0,1.0,0.0,6.0,0.0,341.0
90.0,2.0,293.0,1.0,0.0,1.0,0.0,7.0,0.0,285.0
91.0,1.0,277.0,1.0,0.0,1.0,0.0,3.0,0.0,259.0
92.0,1.0,312.0,1.0,0.0,1.0,0.0,5.0,0.0,177.0
93.0,0.0,270.0,1.0,0.0,1.0,0.0,5.0,1.0,191.0
94.0,1.0,263.0,1.0,0.0,1.0,0.0,3.0,1.0,170.0
95.0,1.0,216.0,1.0,0.0,1.0,0.0,4.0,0.0,179.0
96.0,1.0,301.0,1.0,0.0,1.0,0.0,5.0,3.0,74.0
97.0,0.0,228.0,1.0,0.0,1.0,0.0,4.0,3.0,139.0
98.0,98.0,358.0,0.0,1.0,1.0,0.0,22.0,2.0,4.0
99.0,642.0,446.0,0.0,1.0,0.0,1.0,42.0,28.0,2.0
100.0,555.0,649.0,0.0,1.0,0.0,1.0,40.0,55.0,0.0
101.0,463.0,967.0,0.0,1.0,0.0,1.0,39.0,71.0,0.0
102.0,216.0,1379.0,0.0,1.0,0.0,1.0,39.0,91.0,4.0
