time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,760.0,70.0,0.0,1.0,0.0,1.0,43.0,21.0,0.0
2.0,1001.0,269.0,0.0,1.0,0.0,1.0,46.0,55.0,0.0
3.0,713.0,576.0,0.0,1.0,0.0,1.0,38.0,58.0,1.0
4.0,554.0,902.0,0.0,1.0,0.0,1.0,43.0,68.0,2.0
5.0,458.0,1272.0,0.0,1.0,1.0,0.0,46.0,72.0,4.0
6.0,426.0,1607.0,0.0,1.0,1.0,0.0,45.0,64.0,4.0
7.0,0.0,1420.0,1.0,0.0,1.0,0.0,2.0,53.0,500.0
8.0,1.0,629.0,1.0,0.0,1.0,0.0,4.0,34.0,1317.0
9.0,0.0,326.0,1.0,0.0,1.0,0.0,3.0,22.0,1500.0
10.0,0.0,316.0,1.0,0.0,1.0,0.0,5.0,15.0,1334.0
11.0,0.0,231.0,1.0,0.0,1.0,0.0,10.0,11.0,1216.0
12.0,0.0,310.0,1.0,0.0,1.0,0.0,9.0,9.0,962.0
13.0,0.0,384.0,1.0,0.0,1.0,0.0,2.0,5.0,761.0
14.0,0.0,250.0,1.0,0.0,1.0,0.0,3.0,3.0,753.0
15.0,0.0,327.0,1.0,0.0,1.0,0.0,3.0,0.0,551.0
16.0,0.0,228.0,1.0,0.0,1.0,0.0,6.0,0.0,548.0
17.0,0.0,272.0,1.0,0.0,1.0,0.0,7.0,0.0,415.0
18.0,0.0,292.0,1.0,0.0,1.0,0.0,4.0,0.0,318.0
19.0,0.0,207.0,1.0,0.0,1.0,0.0,2.0,0.0,333.0
20.0,1.0,324.0,1.0,0.0,1.0,0.0,7.0,0.0,169.0
21.0,4.0,415.0,1.0,0.0,1.0,0.0,6.0,0.0,62.0
22.0,0.0,345.0,1.0,0.0,1.0,0.0,3.0,0.0,116.0
23.0,1.0,345.0,1.0,0.0,1.0,0.0,6.0,1.0,98.0
24.0,455.0,493.0,0.0,1.0,1.0,0.0,33.0,22.0,0.0
25.0,626.0,703.0,0.0,1.0,0.0,1.0,51.0,49.0,0.0
26.0,461.0,981.0,0.0,1.0,0.0,1.0,37.0,62.0,1.0
27.0,387.0,1247.0,0.0,1.0,0.0,1.0,48.0,67.0,1.0
28.0,254.0,1644.0,0.0,1.0,1.0,0.0,39.0,90.0,8.0
29.0,1.0,1138.0,1.0,0.0,1.0,0.0,5.0,65.0,837.0
30.0,0.0,520.0,1.0,0.0,1.0,0.0,5.0,41.0,1460.0
31.0,0.0,403.0,1.0,0.0,1.0,0.0,3.0,27.0,1482.0
32.0,0.0,312.0,1.0,0.0,1.0,0.0,8.0,18.0,1390.0
33.0,0.0,375.0,1.0,0.0,1.0,0.0,5.0,10.0,1116.0
34.0,1.0,298.0,1.0,0.0,1.0,0.0,4.0,7.0,1040.0
35.0,0.0,394.0,1.0,0.0,1.0,0.0,8.0,4.0,773.0
36.0,0.0,446.0,1.0,0.0,1.0,0.0,14.0,2.0,584.0
37.0,0.0,315.0,1.0,0.0,1.0,0.0,4.0,1.0,607.0
38.0,0.0,256.0,1.0,0.0,1.0,0.0,3.0,1.0,551.0
39.0,1.0,341.0,1.0,0.0,1.0,0.0,7.0,2.0,375.0
40.0,0.0,248.0,1.0,0.0,1.0,0.0,10.0,1.0,383.0
41.0,1.0,307.0,1.0,0.0,1.0,0.0,10.0,1.0,265.0
42.0,1.0,273.0,1.0,0.0,1.0,0.0,5.0,0.0,252.0
43.0,0.0,240.0,1.0,0.0,1.0,0.0,3.0,0.0,236.0
44.0,2.0,355.0,1.0,0.0,1.0,0.0,4.0,1.0,80.0
45.0,0.0,352.0,1.0,0.0,1.0,0.0,5.0,0.0,71.0
46.0,210.0,431.0,0.0,1.0,1.0,0.0,52.0,8.0,2.0
47.0,697.0,562.0,0.0,1.0,0.0,1.0,44.0,45.0,1.0
48.0,673.0,775.0,0.0,1.0,0.0,1.0,43.0,45.0,0.0
49.0,550.0,1050.0,0.0,1.0,0.0,1.0,28.0,55.0,2.0
50.0,243.0,1366.0,0.0,1.0,1.0,0.0,47.0,65.0,2.0
51.0,104.0,1693.0,1.0,0.0,0.0,1.0,33.0,65.0,5.0
52.0,1.0,975.0,1.0,0.0,1.0,0.0,5.0,36.0,917.0
53.0,0.0,551.0,1.0,0.0,1.0,0.0,10.0,22.0,1236.0
