time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,701.0,75.0,0.0,1.0,0.0,1.0,44.0,24.0,0.0
2.0,928.0,245.0,0.0,1.0,0.0,1.0,47.0,39.0,0.0
3.0,914.0,453.0,0.0,1.0,0.0,1.0,56.0,52.0,0.0
4.0,718.0,796.0,0.0,1.0,0.0,1.0,50.0,81.0,0.0
5.0,456.0,1251.0,0.0,1.0,0.0,1.0,48.0,93.0,1.0
6.0,3.0,1586.0,1.0,0.0,1.0,0.0,16.0,89.0,138.0
7.0,1.0,712.0,1.0,0.0,1.0,0.0,5.0,54.0,1222.0
8.0,0.0,428.0,1.0,0.0,1.0,0.0,4.0,38.0,1471.0
9.0,0.0,287.0,1.0,0.0,1.0,0.0,1.0,27.0,1515.0
10.0,0.0,293.0,1.0,0.0,1.0,0.0,3.0,17.0,1309.0
11.0,0.0,204.0,1.0,0.0,1.0,0.0,5.0,14.0,1255.0
12.0,1.0,211.0,1.0,0.0,1.0,0.0,7.0,8.0,1064.0
13.0,0.0,261.0,1.0,0.0,1.0,0.0,5.0,4.0,884.0
14.0,0.0,232.0,1.0,0.0,1.0,0.0,0.0,3.0,762.0
15.0,1.0,255.0,1.0,0.0,1.0,0.0,10.0,1.0,599.0
16.0,0.0,256.0,1.0,0.0,1.0,0.0,6.0,1.0,501.0
17.0,0.0,276.0,1.0,0.0,1.0,0.0,2.0,0.0,395.0
18.0,1.0,227.0,1.0,0.0,1.0,0.0,5.0,0.0,370.0
19.0,0.0,315.0,1.0,0.0,1.0,0.0,5.0,0.0,217.0
20.0,0.0,283.0,1.0,0.0,1.0,0.0,3.0,0.0,206.0
21.0,2.0,295.0,1.0,0.0,1.0,0.0,7.0,0.0,164.0
22.0,0.0,255.0,1.0,0.0,1.0,0.0,3.0,0.0,171.0
23.0,2.0,209.0,1.0,0.0,1.0,0.0,6.0,0.0,166.0
24.0,1.0,282.0,1.0,0.0,1.0,0.0,10.0,0.0,79.0
25.0,11.0,318.0,1.0,0.0,1.0,0.0,10.0,0.0,28.0
26.0,3.0,290.0,1.0,0.0,1.0,0.0,8.0,0.0,45.0
27.0,3.0,249.0,1.0,0.0,1.0,0.0,5.0,1.0,80.0
28.0,774.0,370.0,0.0,1.0,0.0,1.0,57.0,24.0,1.0
29.0,795.0,534.0,0.0,1.0,0.0,1.0,47.0,40.0,2.0
