time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,931.0,109.0,0.0,1.0,0.0,1.0,49.0,32.0,0.0
2.0,907.0,323.0,0.0,1.0,0.0,1.0,51.0,47.0,0.0
3.0,675.0,634.0,0.0,1.0,1.0,0.0,39.0,58.0,2.0
4.0,556.0,951.0,0.0,1.0,0.0,1.0,49.0,72.0,1.0
5.0,367.0,1332.0,1.0,0.0,0.0,1.0,44.0,78.0,3.0
6.0,0.0,1421.0,1.0,0.0,1.0,0.0,6.0,61.0,303.0
7.0,0.0,686.0,1.0,0.0,1.0,0.0,4.0,36.0,1100.0
8.0,0.0,444.0,1.0,0.0,1.0,0.0,6.0,23.0,1254.0
9.0,0.0,299.0,1.0,0.0,1.0,0.0,3.0,13.0,1178.0
10.0,0.0,274.0,1.0,0.0,1.0,0.0,8.0,10.0,1075.0
11.0,0.0,288.0,1.0,0.0,1.0,0.0,7.0,6.0,898.0
12.0,0.0,265.0,1.0,0.0,1.0,0.0,4.0,5.0,771.0
13.0,0.0,229.0,1.0,0.0,1.0,0.0,6.0,2.0,669.0
14.0,2.0,363.0,1.0,0.0,1.0,0.0,8.0,0.0,439.0
15.0,0.0,300.0,1.0,0.0,1.0,0.0,8.0,0.0,412.0
16.0,0.0,286.0,1.0,0.0,1.0,0.0,5.0,0.0,358.0
17.0,0.0,226.0,1.0,0.0,1.0,0.0,3.0,0.0,344.0
18.0,1.0,266.0,1.0,0.0,1.0,0.0,5.0,1.0,258.0
19.0,1.0,242.0,1.0,0.0,1.0,0.0,3.0,4.0,245.0
20.0,0.0,285.0,1.0,0.0,1.0,0.0,6.0,6.0,181.0
21.0,1.0,264.0,1.0,0.0,1.0,0.0,6.0,4.0,196.0
22.0,0.0,269.0,1.0,0.0,1.0,0.0,7.0,2.0,176.0
23.0,1.0,234.0,1.0,0.0,1.0,0.0,7.0,1.0,179.0
24.0,1.0,234.0,1.0,0.0,1.0,0.0,4.0,1.0,149.0
25.0,1.0,246.0,1.0,0.0,1.0,0.0,9.0,1.0,115.0
26.0,464.0,376.0,0.0,1.0,0.0,1.0,41.0,26.0,1.0
27.0,659.0,567.0,0.0,1.0,0.0,1.0,54.0,60.0,2.0
28.0,615.0,902.0,0.0,1.0,0.0,1.0,50.0,66.0,2.0
29.0,335.0,1261.0,0.0,1.0,0.0,1.0,41.0,82.0,1.0
30.0,48.0,1665.0,1.0,0.0,0.0,1.0,33.0,77.0,23.0
31.0,0.0,937.0,1.0,0.0,1.0,0.0,16.0,50.0,968.0
32.0,0.0,533.0,1.0,0.0,1.0,0.0,2.0,27.0,1299.0
33.0,0.0,307.0,1.0,0.0,1.0,0.0,1.0,21.0,1367.0
34.0,0.0,299.0,1.0,0.0,1.0,0.0,4.0,11.0,1192.0
35.0,1.0,288.0,1.0,0.0,1.0,0.0,5.0,8.0,1019.0
36.0,0.0,284.0,1.0,0.0,1.0,0.0,6.0,4.0,849.0
37.0,0.0,233.0,1.0,0.0,1.0,0.0,2.0,2.0,756.0
38.0,0.0,278.0,1.0,0.0,1.0,0.0,5.0,1.0,585.0
39.0,1.0,249.0,1.0,0.0,1.0,0.0,8.0,0.0,494.0
40.0,1.0,291.0,0.0,1.0,1.0,0.0,22.0,0.0,367.0
41.0,0.0,324.0,1.0,0.0,1.0,0.0,1.0,0.0,282.0
42.0,0.0,270.0,1.0,0.0,1.0,0.0,4.0,0.0,278.0
43.0,1.0,249.0,1.0,0.0,1.0,0.0,7.0,0.0,243.0
44.0,1.0,330.0,1.0,0.0,1.0,0.0,11.0,1.0,121.0
45.0,6.0,335.0,1.0,0.0,1.0,0.0,15.0,0.0,99.0
46.0,1.0,323.0,1.0,0.0,1.0,0.0,3.0,0.0,92.0
47.0,2.0,262.0,1.0,0.0,1.0,0.0,9.0,0.0,126.0
48.0,1.0,310.0,1.0,0.0,1.0,0.0,8.0,3.0,73.0
