time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,794.0,69.0,0.0,1.0,0.0,1.0,47.0,28.0,0.0
2.0,994.0,310.0,0.0,1.0,0.0,1.0,52.0,59.0,0.0
3.0,785.0,610.0,0.0,1.0,0.0,1.0,56.0,66.0,2.0
4.0,587.0,926.0,0.0,1.0,0.0,1.0,49.0,63.0,1.0
5.0,328.0,1274.0,0.0,1.0,0.0,1.0,43.0,75.0,1.0
6.0,238.0,1675.0,1.0,0.0,0.0,1.0,28.0,72.0,5.0
7.0,0.0,1165.0,1.0,0.0,1.0,0.0,5.0,48.0,736.0
8.0,0.0,641.0,1.0,0.0,1.0,0.0,12.0,30.0,1220.0
9.0,0.0,402.0,1.0,0.0,1.0,0.0,6.0,18.0,1326.0
10.0,0.0,293.0,1.0,0.0,1.0,0.0,11.0,7.0,1236.0
11.0,0.0,226.0,1.0,0.0,1.0,0.0,8.0,6.0,1101.0
12.0,0.0,310.0,1.0,0.0,1.0,0.0,3.0,5.0,850.0
13.0,0.0,297.0,1.0,0.0,1.0,0.0,7.0,2.0,693.0
14.0,0.0,224.0,1.0,0.0,1.0,0.0,4.0,1.0,632.0
15.0,0.0,274.0,1.0,0.0,1.0,0.0,4.0,1.0,474.0
16.0,0.0,331.0,1.0,0.0,1.0,0.0,6.0,1.0,340.0
17.0,0.0,345.0,1.0,0.0,1.0,0.0,6.0,1.0,268.0
18.0,0.0,283.0,1.0,0.0,1.0,0.0,5.0,1.0,282.0
19.0,0.0,372.0,1.0,0.0,1.0,0.0,3.0,1.0,162.0
20.0,10.0,418.0,0.0,1.0,1.0,0.0,16.0,3.0,89.0
21.0,4.0,475.0,1.0,0.0,1.0,0.0,7.0,1.0,39.0
22.0,0.0,323.0,1.0,0.0,1.0,0.0,7.0,0.0,167.0
23.0,8.0,396.0,1.0,0.0,1.0,0.0,21.0,0.0,66.0
24.0,622.0,538.0,0.0,1.0,0.0,1.0,48.0,33.0,0.0
25.0,602.0,750.0,0.0,1.0,0.0,1.0,49.0,48.0,0.0
26.0,649.0,1006.0,0.0,1.0,0.0,1.0,51.0,61.0,0.0
27.0,534.0,1292.0,0.0,1.0,0.0,1.0,50.0,69.0,0.0
28.0,194.0,1639.0,0.0,1.0,0.0,1.0,37.0,75.0,6.0
29.0,0.0,1192.0,1.0,0.0,1.0,0.0,6.0,57.0,768.0
30.0,0.0,602.0,1.0,0.0,1.0,0.0,7.0,34.0,1344.0
31.0,0.0,375.0,1.0,0.0,1.0,0.0,3.0,19.0,1417.0
32.0,0.0,276.0,1.0,0.0,1.0,0.0,6.0,14.0,1317.0
33.0,0.0,244.0,1.0,0.0,1.0,0.0,6.0,11.0,1169.0
34.0,0.0,195.0,1.0,0.0,1.0,0.0,2.0,9.0,1040.0
35.0,0.0,186.0,1.0,0.0,1.0,0.0,3.0,9.0,881.0
36.0,1.0,201.0,1.0,0.0,1.0,0.0,5.0,6.0,746.0
37.0,0.0,231.0,1.0,0.0,1.0,0.0,6.0,5.0,600.0
38.0,0.0,211.0,1.0,0.0,1.0,0.0,2.0,3.0,539.0
39.0,1.0,210.0,1.0,0.0,1.0,0.0,4.0,2.0,446.0
40.0,0.0,275.0,1.0,0.0,1.0,0.0,4.0,2.0,326.0
41.0,0.0,254.0,1.0,0.0,1.0,0.0,5.0,1.0,289.0
42.0,3.0,398.0,1.0,0.0,1.0,0.0,7.0,0.0,104.0
43.0,3.0,385.0,1.0,0.0,1.0,0.0,12.0,0.0,92.0
44.0,89.0,476.0,1.0,0.0,1.0,0.0,25.0,8.0,7.0
45.0,611.0,580.0,0.0,1.0,0.0,1.0,41.0,35.0,0.0
46.0,643.0,813.0,0.0,1.0,0.0,1.0,48.0,61.0,0.0
47.0,378.0,1188.0,1.0,0.0,0.0,1.0,41.0,70.0,3.0
48.0,276.0,1509.0,0.0,1.0,0.0,1.0,40.0,64.0,5.0
49.0,73.0,1846.0,0.0,1.0,0.0,1.0,51.0,71.0,15.0
50.0,0.0,1016.0,0.0,1.0,1.0,0.0,16.0,43.0,1045.0
