time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,818.0,54.0,1.0,0.0,0.0,1.0,35.0,20.0,0.0
2.0,922.0,228.0,0.0,1.0,0.0,1.0,36.0,49.0,0.0
3.0,1115.0,481.0,0.0,1.0,0.0,1.0,52.0,60.0,0.0
4.0,655.0,803.0,0.0,1.0,0.0,1.0,38.0,69.0,0.0
5.0,525.0,1167.0,0.0,1.0,0.0,1.0,49.0,82.0,0.0
6.0,356.0,1548.0,0.0,1.0,0.0,1.0,51.0,76.0,5.0
7.0,1.0,1326.0,1.0,0.0,1.0,0.0,7.0,54.0,503.0
8.0,0.0,747.0,1.0,0.0,1.0,0.0,11.0,34.0,1113.0
9.0,0.0,418.0,1.0,0.0,1.0,0.0,3.0,23.0,1329.0
10.0,0.0,291.0,1.0,0.0,1.0,0.0,5.0,14.0,1252.0
11.0,0.0,276.0,1.0,0.0,1.0,0.0,2.0,8.0,1088.0
12.0,0.0,220.0,1.0,0.0,1.0,0.0,4.0,4.0,974.0
13.0,0.0,191.0,1.0,0.0,1.0,0.0,3.0,4.0,837.0
14.0,0.0,284.0,1.0,0.0,1.0,0.0,9.0,2.0,609.0
15.0,0.0,254.0,1.0,0.0,1.0,0.0,5.0,1.0,550.0
16.0,1.0,280.0,1.0,0.0,1.0,0.0,4.0,0.0,424.0
17.0,1.0,262.0,1.0,0.0,1.0,0.0,9.0,0.0,351.0
18.0,0.0,253.0,1.0,0.0,1.0,0.0,2.0,0.0,300.0
19.0,1.0,268.0,1.0,0.0,1.0,0.0,4.0,0.0,239.0
20.0,0.0,183.0,1.0,0.0,1.0,0.0,5.0,0.0,282.0
21.0,1.0,237.0,1.0,0.0,1.0,0.0,14.0,0.0,185.0
22.0,1.0,345.0,1.0,0.0,1.0,0.0,2.0,3.0,73.0
23.0,0.0,283.0,1.0,0.0,1.0,0.0,7.0,3.0,125.0
24.0,0.0,235.0,1.0,0.0,1.0,0.0,4.0,1.0,160.0
25.0,0.0,250.0,1.0,0.0,1.0,0.0,2.0,0.0,122.0
26.0,451.0,381.0,0.0,1.0,0.0,1.0,46.0,18.0,0.0
27.0,768.0,538.0,0.0,1.0,0.0,1.0,49.0,42.0,1.0
28.0,842.0,785.0,0.0,1.0,0.0,1.0,55.0,61.0,1.0
29.0,528.0,1165.0,0.0,1.0,0.0,1.0,46.0,83.0,4.0
30.0,252.0,1592.0,0.0,1.0,0.0,1.0,49.0,93.0,5.0
31.0,0.0,1148.0,1.0,0.0,1.0,0.0,5.0,62.0,785.0
32.0,0.0,581.0,1.0,0.0,1.0,0.0,3.0,32.0,1372.0
33.0,0.0,370.0,1.0,0.0,1.0,0.0,2.0,21.0,1439.0
34.0,0.0,312.0,1.0,0.0,1.0,0.0,5.0,11.0,1271.0
35.0,0.0,307.0,1.0,0.0,1.0,0.0,5.0,13.0,1082.0
36.0,0.0,309.0,1.0,0.0,1.0,0.0,7.0,7.0,900.0
37.0,0.0,228.0,1.0,0.0,1.0,0.0,2.0,5.0,842.0
38.0,0.0,236.0,1.0,0.0,1.0,0.0,5.0,4.0,677.0
39.0,0.0,269.0,1.0,0.0,1.0,0.0,7.0,3.0,535.0
40.0,0.0,286.0,1.0,0.0,1.0,0.0,5.0,3.0,439.0
41.0,1.0,286.0,1.0,0.0,1.0,0.0,6.0,2.0,363.0
42.0,1.0,276.0,1.0,0.0,1.0,0.0,3.0,2.0,325.0
43.0,0.0,213.0,1.0,0.0,1.0,0.0,3.0,2.0,335.0
44.0,1.0,175.0,1.0,0.0,1.0,0.0,5.0,0.0,313.0
45.0,0.0,255.0,1.0,0.0,1.0,0.0,2.0,0.0,178.0
46.0,0.0,211.0,1.0,0.0,1.0,0.0,9.0,1.0,197.0
47.0,1.0,206.0,1.0,0.0,1.0,0.0,4.0,1.0,177.0
48.0,1.0,221.0,1.0,0.0,1.0,0.0,8.0,1.0,141.0
49.0,5.0,235.0,1.0,0.0,1.0,0.0,7.0,0.0,110.0
50.0,94.0,331.0,0.0,1.0,1.0,0.0,35.0,2.0,3.0
51.0,695.0,425.0,0.0,1.0,0.0,1.0,36.0,31.0,0.0
52.0,634.0,642.0,0.0,1.0,0.0,1.0,44.0,50.0,0.0
