time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,780.0,66.0,0.0,1.0,0.0,1.0,51.0,26.0,0.0
2.0,874.0,326.0,0.0,1.0,0.0,1.0,42.0,61.0,0.0
3.0,770.0,621.0,0.0,1.0,0.0,1.0,46.0,74.0,0.0
4.0,596.0,988.0,0.0,1.0,0.0,1.0,59.0,76.0,4.0
5.0,292.0,1410.0,1.0,0.0,0.0,1.0,45.0,88.0,5.0
6.0,223.0,1847.0,1.0,0.0,1.0,0.0,50.0,82.0,0.0
7.0,1.0,1443.0,1.0,0.0,1.0,0.0,7.0,67.0,760.0
8.0,0.0,651.0,1.0,0.0,1.0,0.0,5.0,38.0,1589.0
9.0,0.0,419.0,1.0,0.0,1.0,0.0,8.0,19.0,1658.0
10.0,0.0,308.0,1.0,0.0,1.0,0.0,5.0,9.0,1523.0
11.0,0.0,316.0,1.0,0.0,1.0,0.0,4.0,6.0,1294.0
12.0,0.0,287.0,1.0,0.0,1.0,0.0,8.0,5.0,1109.0
13.0,0.0,293.0,1.0,0.0,1.0,0.0,8.0,3.0,908.0
14.0,0.0,382.0,1.0,0.0,1.0,0.0,8.0,2.0,659.0
15.0,0.0,309.0,1.0,0.0,1.0,0.0,7.0,0.0,598.0
16.0,2.0,288.0,1.0,0.0,1.0,0.0,8.0,0.0,501.0
17.0,0.0,297.0,1.0,0.0,1.0,0.0,3.0,0.0,413.0
18.0,0.0,253.0,1.0,0.0,1.0,0.0,7.0,0.0,383.0
19.0,0.0,252.0,1.0,0.0,1.0,0.0,6.0,0.0,306.0
20.0,1.0,274.0,1.0,0.0,1.0,0.0,3.0,0.0,238.0
21.0,0.0,211.0,1.0,0.0,1.0,0.0,2.0,0.0,244.0
22.0,1.0,233.0,1.0,0.0,1.0,0.0,4.0,1.0,182.0
23.0,0.0,241.0,1.0,0.0,1.0,0.0,7.0,2.0,148.0
24.0,1.0,251.0,1.0,0.0,1.0,0.0,2.0,0.0,108.0
25.0,81.0,343.0,1.0,0.0,1.0,0.0,28.0,1.0,1.0
26.0,688.0,434.0,0.0,1.0,0.0,1.0,42.0,28.0,1.0
27.0,773.0,592.0,0.0,1.0,0.0,1.0,56.0,49.0,1.0
28.0,737.0,913.0,0.0,1.0,0.0,1.0,51.0,76.0,0.0
29.0,452.0,1320.0,0.0,1.0,1.0,0.0,54.0,84.0,2.0
30.0,208.0,1760.0,0.0,1.0,0.0,1.0,44.0,93.0,4.0
31.0,1.0,1166.0,1.0,0.0,1.0,0.0,3.0,56.0,912.0
32.0,0.0,588.0,1.0,0.0,1.0,0.0,3.0,34.0,1481.0
33.0,0.0,310.0,1.0,0.0,1.0,0.0,2.0,19.0,1551.0
34.0,0.0,279.0,1.0,0.0,1.0,0.0,4.0,11.0,1355.0
35.0,0.0,238.0,1.0,0.0,1.0,0.0,3.0,7.0,1180.0
36.0,0.0,300.0,1.0,0.0,1.0,0.0,3.0,5.0,957.0
37.0,0.0,260.0,1.0,0.0,1.0,0.0,6.0,3.0,854.0
38.0,0.0,222.0,1.0,0.0,1.0,0.0,3.0,3.0,754.0
39.0,0.0,233.0,1.0,0.0,1.0,0.0,4.0,2.0,604.0
40.0,0.0,270.0,1.0,0.0,1.0,0.0,4.0,2.0,478.0
41.0,0.0,242.0,1.0,0.0,1.0,0.0,7.0,3.0,416.0
42.0,0.0,308.0,1.0,0.0,1.0,0.0,5.0,1.0,293.0
43.0,0.0,213.0,1.0,0.0,1.0,0.0,2.0,0.0,330.0
44.0,1.0,249.0,1.0,0.0,1.0,0.0,10.0,0.0,249.0
45.0,8.0,370.0,1.0,0.0,1.0,0.0,19.0,1.0,90.0
46.0,1.0,338.0,1.0,0.0,1.0,0.0,5.0,7.0,139.0
