time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,616.0,62.0,0.0,1.0,0.0,1.0,29.0,20.0,1.0
2.0,1079.0,242.0,0.0,1.0,0.0,1.0,42.0,47.0,1.0
3.0,793.0,529.0,0.0,1.0,1.0,0.0,39.0,64.0,0.0
4.0,666.0,885.0,0.0,1.0,0.0,1.0,41.0,85.0,0.0
5.0,447.0,1282.0,0.0,1.0,0.0,1.0,50.0,89.0,5.0
6.0,0.0,1455.0,1.0,0.0,1.0,0.0,11.0,71.0,237.0
7.0,0.0,672.0,1.0,0.0,1.0,0.0,5.0,40.0,1140.0
8.0,0.0,528.0,1.0,0.0,1.0,0.0,3.0,22.0,1188.0
9.0,0.0,376.0,1.0,0.0,1.0,0.0,9.0,14.0,1183.0
10.0,0.0,302.0,1.0,0.0,1.0,0.0,9.0,7.0,1070.0
11.0,1.0,260.0,1.0,0.0,1.0,0.0,8.0,2.0,943.0
12.0,0.0,262.0,1.0,0.0,1.0,0.0,3.0,1.0,781.0
13.0,0.0,310.0,1.0,0.0,1.0,0.0,6.0,1.0,590.0
14.0,0.0,319.0,1.0,0.0,1.0,0.0,5.0,0.0,487.0
15.0,0.0,331.0,1.0,0.0,1.0,0.0,5.0,0.0,401.0
16.0,0.0,238.0,1.0,0.0,1.0,0.0,1.0,0.0,417.0
17.0,0.0,267.0,1.0,0.0,1.0,0.0,5.0,0.0,321.0
18.0,0.0,246.0,1.0,0.0,1.0,0.0,8.0,2.0,295.0
19.0,1.0,229.0,1.0,0.0,1.0,0.0,10.0,2.0,277.0
20.0,29.0,459.0,1.0,0.0,1.0,0.0,32.0,5.0,13.0
21.0,665.0,559.0,1.0,0.0,0.0,1.0,47.0,27.0,1.0
22.0,607.0,763.0,0.0,1.0,1.0,0.0,46.0,51.0,0.0
23.0,515.0,1063.0,0.0,1.0,0.0,1.0,44.0,66.0,0.0
24.0,469.0,1393.0,0.0,1.0,0.0,1.0,57.0,69.0,2.0
25.0,280.0,1731.0,0.0,1.0,0.0,1.0,50.0,67.0,3.0
26.0,0.0,1163.0,1.0,0.0,0.0,1.0,8.0,56.0,859.0
27.0,0.0,637.0,1.0,0.0,1.0,0.0,6.0,26.0,1374.0
28.0,0.0,406.0,1.0,0.0,1.0,0.0,4.0,12.0,1386.0
29.0,0.0,319.0,1.0,0.0,1.0,0.0,2.0,7.0,1250.0
30.0,1.0,243.0,1.0,0.0,1.0,0.0,4.0,4.0,1098.0
31.0,0.0,254.0,1.0,0.0,1.0,0.0,4.0,3.0,907.0
32.0,0.0,311.0,1.0,0.0,1.0,0.0,2.0,1.0,693.0
33.0,0.0,277.0,1.0,0.0,1.0,0.0,3.0,1.0,585.0
34.0,1.0,240.0,1.0,0.0,1.0,0.0,6.0,0.0,520.0
35.0,0.0,213.0,1.0,0.0,1.0,0.0,3.0,0.0,446.0
36.0,1.0,230.0,1.0,0.0,1.0,0.0,4.0,0.0,339.0
37.0,0.0,248.0,1.0,0.0,1.0,0.0,1.0,0.0,268.0
38.0,0.0,197.0,1.0,0.0,1.0,0.0,6.0,0.0,273.0
39.0,30.0,433.0,0.0,1.0,1.0,0.0,13.0,1.0,9.0
40.0,459.0,474.0,0.0,1.0,0.0,1.0,30.0,17.0,2.0
