time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,848.0,87.0,1.0,0.0,0.0,1.0,45.0,25.0,0.0
2.0,978.0,251.0,0.0,1.0,0.0,1.0,62.0,46.0,1.0
3.0,759.0,576.0,0.0,1.0,0.0,1.0,47.0,66.0,0.0
4.0,352.0,976.0,0.0,1.0,1.0,0.0,38.0,87.0,3.0
5.0,184.0,1442.0,0.0,1.0,1.0,0.0,41.0,91.0,5.0
6.0,0.0,1226.0,1.0,0.0,1.0,0.0,7.0,61.0,569.0
7.0,0.0,588.0,1.0,0.0,1.0,0.0,4.0,29.0,1252.0
8.0,0.0,454.0,1.0,0.0,1.0,0.0,5.0,23.0,1269.0
9.0,0.0,290.0,1.0,0.0,1.0,0.0,6.0,18.0,1303.0
10.0,1.0,228.0,1.0,0.0,1.0,0.0,4.0,12.0,1200.0
11.0,0.0,270.0,1.0,0.0,1.0,0.0,7.0,6.0,1011.0
12.0,0.0,251.0,1.0,0.0,1.0,0.0,3.0,4.0,860.0
13.0,0.0,276.0,1.0,0.0,1.0,0.0,2.0,2.0,709.0
14.0,0.0,211.0,1.0,0.0,1.0,0.0,4.0,1.0,631.0
15.0,0.0,239.0,1.0,0.0,1.0,0.0,4.0,0.0,469.0
16.0,0.0,239.0,1.0,0.0,1.0,0.0,3.0,0.0,387.0
17.0,0.0,275.0,1.0,0.0,1.0,0.0,3.0,0.0,294.0
18.0,1.0,232.0,1.0,0.0,1.0,0.0,3.0,0.0,290.0
19.0,0.0,216.0,1.0,0.0,1.0,0.0,1.0,0.0,246.0
20.0,0.0,212.0,1.0,0.0,1.0,0.0,6.0,0.0,201.0
21.0,7.0,376.0,1.0,0.0,1.0,0.0,9.0,0.0,19.0
22.0,536.0,421.0,0.0,1.0,0.0,1.0,46.0,18.0,1.0
23.0,868.0,569.0,0.0,1.0,1.0,0.0,57.0,51.0,1.0
