time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,867.0,78.0,0.0,1.0,0.0,1.0,39.0,33.0,0.0
2.0,873.0,312.0,0.0,1.0,0.0,1.0,49.0,52.0,0.0
3.0,749.0,614.0,0.0,1.0,0.0,1.0,55.0,73.0,1.0
4.0,584.0,964.0,0.0,1.0,0.0,1.0,41.0,76.0,0.0
5.0,263.0,1384.0,0.0,1.0,1.0,0.0,43.0,82.0,3.0
6.0,0.0,1367.0,1.0,0.0,1.0,0.0,3.0,63.0,384.0
7.0,0.0,766.0,1.0,0.0,1.0,0.0,6.0,39.0,1073.0
8.0,0.0,411.0,1.0,0.0,1.0,0.0,2.0,28.0,1358.0
9.0,0.0,331.0,1.0,0.0,1.0,0.0,5.0,17.0,1278.0
10.0,0.0,304.0,1.0,0.0,1.0,0.0,6.0,13.0,1159.0
11.0,0.0,202.0,1.0,0.0,1.0,0.0,3.0,9.0,1110.0
12.0,0.0,194.0,1.0,0.0,1.0,0.0,4.0,5.0,942.0
13.0,2.0,236.0,1.0,0.0,1.0,0.0,7.0,4.0,764.0
14.0,0.0,252.0,1.0,0.0,1.0,0.0,2.0,1.0,616.0
15.0,0.0,217.0,1.0,0.0,1.0,0.0,3.0,0.0,540.0
16.0,0.0,203.0,1.0,0.0,1.0,0.0,7.0,0.0,453.0
17.0,2.0,234.0,1.0,0.0,1.0,0.0,7.0,0.0,350.0
18.0,1.0,193.0,1.0,0.0,1.0,0.0,5.0,0.0,329.0
19.0,3.0,277.0,1.0,0.0,1.0,0.0,5.0,0.0,191.0
20.0,2.0,280.0,1.0,0.0,1.0,0.0,8.0,1.0,144.0
21.0,0.0,233.0,1.0,0.0,1.0,0.0,6.0,1.0,164.0
22.0,0.0,172.0,1.0,0.0,1.0,0.0,5.0,2.0,203.0
23.0,2.0,268.0,1.0,0.0,1.0,0.0,6.0,2.0,98.0
24.0,0.0,248.0,1.0,0.0,1.0,0.0,7.0,1.0,106.0
25.0,0.0,197.0,1.0,0.0,1.0,0.0,4.0,1.0,143.0
26.0,7.0,258.0,1.0,0.0,1.0,0.0,15.0,0.0,55.0
27.0,749.0,356.0,0.0,1.0,0.0,1.0,50.0,26.0,0.0
28.0,812.0,564.0,0.0,1.0,0.0,1.0,45.0,48.0,0.0
29.0,595.0,835.0,0.0,1.0,0.0,1.0,50.0,63.0,0.0
30.0,541.0,1212.0,0.0,1.0,0.0,1.0,57.0,81.0,0.0
31.0,189.0,1618.0,0.0,1.0,0.0,1.0,38.0,79.0,8.0
32.0,1.0,1754.0,1.0,0.0,1.0,0.0,10.0,73.0,201.0
33.0,0.0,824.0,1.0,0.0,1.0,0.0,5.0,40.0,1242.0
34.0,0.0,485.0,1.0,0.0,1.0,0.0,6.0,26.0,1458.0
35.0,0.0,377.0,1.0,0.0,1.0,0.0,2.0,17.0,1382.0
36.0,0.0,365.0,1.0,0.0,1.0,0.0,10.0,12.0,1200.0
37.0,0.0,305.0,1.0,0.0,1.0,0.0,6.0,9.0,1097.0
38.0,0.0,298.0,1.0,0.0,1.0,0.0,4.0,6.0,936.0
39.0,0.0,315.0,1.0,0.0,1.0,0.0,4.0,4.0,769.0
40.0,0.0,286.0,1.0,0.0,1.0,0.0,9.0,4.0,683.0
41.0,0.0,261.0,1.0,0.0,1.0,0.0,2.0,3.0,578.0
42.0,0.0,307.0,1.0,0.0,1.0,0.0,6.0,1.0,450.0
43.0,1.0,245.0,1.0,0.0,1.0,0.0,5.0,1.0,427.0
44.0,1.0,256.0,1.0,0.0,1.0,0.0,3.0,1.0,345.0
45.0,0.0,210.0,1.0,0.0,1.0,0.0,6.0,1.0,331.0
46.0,0.0,195.0,1.0,0.0,1.0,0.0,3.0,1.0,295.0
47.0,1.0,154.0,1.0,0.0,1.0,0.0,3.0,1.0,290.0
48.0,0.0,187.0,1.0,0.0,1.0,0.0,4.0,0.0,207.0
49.0,0.0,230.0,1.0,0.0,1.0,0.0,1.0,0.0,133.0
50.0,0.0,246.0,1.0,0.0,1.0,0.0,5.0,0.0,91.0
51.0,0.0,231.0,1.0,0.0,1.0,0.0,5.0,1.0,93.0
52.0,6.0,229.0,1.0,0.0,1.0,0.0,6.0,1.0,78.0
53.0,175.0,312.0,0.0,1.0,0.0,1.0,31.0,9.0,1.0
54.0,745.0,421.0,0.0,1.0,0.0,1.0,49.0,31.0,0.0
55.0,847.0,659.0,0.0,1.0,0.0,1.0,49.0,59.0,3.0
56.0,654.0,1028.0,0.0,1.0,0.0,1.0,51.0,65.0,2.0
57.0,327.0,1373.0,0.0,1.0,1.0,0.0,42.0,62.0,6.0
58.0,69.0,1693.0,0.0,1.0,0.0,1.0,41.0,66.0,9.0
59.0,0.0,976.0,1.0,0.0,1.0,0.0,5.0,51.0,924.0
60.0,0.0,500.0,1.0,0.0,1.0,0.0,4.0,30.0,1373.0
61.0,0.0,363.0,1.0,0.0,1.0,0.0,3.0,19.0,1324.0
62.0,0.0,235.0,1.0,0.0,1.0,0.0,3.0,14.0,1277.0
63.0,0.0,178.0,1.0,0.0,1.0,0.0,3.0,6.0,1152.0
64.0,1.0,220.0,1.0,0.0,1.0,0.0,7.0,4.0,924.0
65.0,0.0,315.0,1.0,0.0,1.0,0.0,6.0,4.0,686.0
66.0,0.0,291.0,1.0,0.0,1.0,0.0,6.0,2.0,599.0
67.0,0.0,263.0,1.0,0.0,1.0,0.0,3.0,1.0,523.0
68.0,1.0,229.0,1.0,0.0,1.0,0.0,2.0,2.0,464.0
69.0,1.0,288.0,1.0,0.0,1.0,0.0,7.0,0.0,332.0
70.0,1.0,412.0,1.0,0.0,1.0,0.0,17.0,0.0,150.0
71.0,0.0,363.0,1.0,0.0,1.0,0.0,3.0,0.0,167.0
72.0,0.0,303.0,1.0,0.0,1.0,0.0,6.0,0.0,183.0
73.0,2.0,258.0,1.0,0.0,1.0,0.0,5.0,3.0,182.0
74.0,3.0,268.0,1.0,0.0,1.0,0.0,6.0,1.0,145.0
75.0,0.0,293.0,1.0,0.0,1.0,0.0,4.0,1.0,108.0
76.0,101.0,397.0,0.0,1.0,1.0,0.0,23.0,3.0,3.0
77.0,814.0,499.0,0.0,1.0,0.0,1.0,39.0,37.0,0.0
78.0,709.0,702.0,0.0,1.0,0.0,1.0,53.0,52.0,1.0
79.0,614.0,1024.0,0.0,1.0,0.0,1.0,43.0,71.0,4.0
80.0,401.0,1375.0,0.0,1.0,0.0,1.0,48.0,64.0,2.0
81.0,0.0,1241.0,1.0,0.0,1.0,0.0,6.0,44.0,403.0
82.0,0.0,612.0,1.0,0.0,1.0,0.0,3.0,33.0,1084.0
83.0,0.0,346.0,1.0,0.0,1.0,0.0,9.0,19.0,1231.0
84.0,0.0,243.0,1.0,0.0,1.0,0.0,1.0,14.0,1196.0
85.0,0.0,295.0,1.0,0.0,1.0,0.0,6.0,10.0,962.0
86.0,1.0,307.0,1.0,0.0,1.0,0.0,6.0,4.0,791.0
87.0,0.0,293.0,1.0,0.0,1.0,0.0,4.0,3.0,705.0
88.0,0.0,252.0,1.0,0.0,1.0,0.0,6.0,3.0,613.0
