time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,578.0,78.0,0.0,1.0,1.0,0.0,48.0,20.0,0.0
2.0,857.0,261.0,0.0,1.0,0.0,1.0,55.0,49.0,1.0
3.0,837.0,519.0,0.0,1.0,0.0,1.0,43.0,57.0,0.0
4.0,841.0,812.0,0.0,1.0,0.0,1.0,58.0,68.0,2.0
5.0,420.0,1190.0,0.0,1.0,0.0,1.0,52.0,75.0,1.0
6.0,170.0,1555.0,0.0,1.0,0.0,1.0,40.0,78.0,7.0
7.0,0.0,1235.0,1.0,0.0,1.0,0.0,3.0,58.0,630.0
8.0,2.0,629.0,1.0,0.0,1.0,0.0,11.0,36.0,1299.0
9.0,0.0,396.0,1.0,0.0,1.0,0.0,8.0,21.0,1407.0
10.0,0.0,359.0,1.0,0.0,1.0,0.0,6.0,13.0,1274.0
11.0,1.0,247.0,1.0,0.0,1.0,0.0,4.0,8.0,1183.0
12.0,0.0,253.0,1.0,0.0,1.0,0.0,4.0,5.0,1009.0
13.0,0.0,270.0,1.0,0.0,1.0,0.0,4.0,3.0,837.0
14.0,1.0,311.0,1.0,0.0,1.0,0.0,11.0,2.0,653.0
15.0,0.0,329.0,1.0,0.0,1.0,0.0,5.0,1.0,509.0
16.0,0.0,281.0,1.0,0.0,1.0,0.0,2.0,1.0,467.0
17.0,1.0,239.0,1.0,0.0,1.0,0.0,8.0,1.0,420.0
18.0,0.0,178.0,1.0,0.0,1.0,0.0,0.0,1.0,420.0
19.0,2.0,195.0,1.0,0.0,1.0,0.0,7.0,1.0,332.0
20.0,1.0,217.0,1.0,0.0,1.0,0.0,6.0,0.0,255.0
21.0,0.0,261.0,1.0,0.0,1.0,0.0,8.0,0.0,158.0
22.0,4.0,250.0,1.0,0.0,1.0,0.0,14.0,0.0,133.0
23.0,1.0,310.0,1.0,0.0,1.0,0.0,4.0,0.0,57.0
24.0,2.0,226.0,1.0,0.0,1.0,0.0,4.0,0.0,127.0
25.0,3.0,301.0,1.0,0.0,1.0,0.0,12.0,1.0,32.0
26.0,460.0,360.0,0.0,1.0,0.0,1.0,46.0,21.0,1.0
27.0,823.0,507.0,0.0,1.0,1.0,0.0,45.0,42.0,0.0
28.0,571.0,788.0,1.0,0.0,1.0,0.0,33.0,63.0,0.0
29.0,548.0,1085.0,0.0,1.0,0.0,1.0,40.0,79.0,1.0
30.0,119.0,1511.0,0.0,1.0,1.0,0.0,36.0,83.0,5.0
31.0,0.0,836.0,1.0,0.0,1.0,0.0,2.0,53.0,966.0
32.0,0.0,393.0,1.0,0.0,1.0,0.0,3.0,33.0,1349.0
33.0,0.0,313.0,1.0,0.0,1.0,0.0,3.0,21.0,1276.0
34.0,0.0,324.0,1.0,0.0,1.0,0.0,3.0,11.0,1079.0
35.0,0.0,314.0,1.0,0.0,1.0,0.0,5.0,7.0,945.0
36.0,0.0,200.0,1.0,0.0,1.0,0.0,4.0,4.0,893.0
37.0,0.0,233.0,1.0,0.0,1.0,0.0,3.0,0.0,712.0
38.0,0.0,255.0,1.0,0.0,1.0,0.0,11.0,0.0,557.0
39.0,1.0,276.0,1.0,0.0,1.0,0.0,9.0,0.0,438.0
40.0,0.0,262.0,1.0,0.0,1.0,0.0,4.0,0.0,366.0
41.0,1.0,210.0,1.0,0.0,1.0,0.0,11.0,0.0,333.0
42.0,0.0,275.0,1.0,0.0,1.0,0.0,10.0,3.0,218.0
43.0,1.0,325.0,1.0,0.0,1.0,0.0,8.0,5.0,158.0
44.0,0.0,247.0,1.0,0.0,1.0,0.0,5.0,2.0,220.0
45.0,2.0,234.0,1.0,0.0,1.0,0.0,4.0,0.0,197.0
46.0,0.0,247.0,1.0,0.0,1.0,0.0,0.0,0.0,144.0
47.0,1.0,225.0,1.0,0.0,1.0,0.0,5.0,0.0,139.0
48.0,0.0,196.0,1.0,0.0,1.0,0.0,4.0,0.0,140.0
49.0,1.0,167.0,1.0,0.0,1.0,0.0,6.0,0.0,146.0
50.0,76.0,304.0,1.0,0.0,0.0,1.0,20.0,4.0,2.0
51.0,895.0,386.0,0.0,1.0,0.0,1.0,58.0,29.0,0.0
52.0,858.0,586.0,0.0,1.0,0.0,1.0,49.0,52.0,1.0
53.0,698.0,859.0,0.0,1.0,0.0,1.0,48.0,60.0,1.0
54.0,482.0,1172.0,0.0,1.0,0.0,1.0,41.0,69.0,0.0
55.0,406.0,1475.0,1.0,0.0,0.0,1.0,52.0,71.0,3.0
56.0,279.0,1824.0,0.0,1.0,0.0,1.0,36.0,70.0,2.0
57.0,0.0,1251.0,1.0,0.0,1.0,0.0,5.0,59.0,881.0
58.0,0.0,671.0,1.0,0.0,1.0,0.0,4.0,43.0,1500.0
59.0,0.0,416.0,1.0,0.0,1.0,0.0,6.0,27.0,1611.0
60.0,0.0,355.0,1.0,0.0,1.0,0.0,5.0,15.0,1425.0
61.0,0.0,294.0,1.0,0.0,1.0,0.0,6.0,9.0,1261.0
62.0,0.0,309.0,1.0,0.0,1.0,0.0,10.0,3.0,1054.0
63.0,0.0,317.0,1.0,0.0,1.0,0.0,3.0,1.0,872.0
64.0,0.0,267.0,1.0,0.0,1.0,0.0,3.0,1.0,750.0
65.0,0.0,249.0,1.0,0.0,1.0,0.0,4.0,0.0,646.0
66.0,0.0,263.0,1.0,0.0,1.0,0.0,3.0,0.0,519.0
67.0,0.0,269.0,1.0,0.0,1.0,0.0,6.0,0.0,410.0
68.0,0.0,262.0,1.0,0.0,1.0,0.0,2.0,0.0,344.0
69.0,1.0,282.0,1.0,0.0,1.0,0.0,7.0,0.0,266.0
70.0,2.0,280.0,1.0,0.0,1.0,0.0,5.0,0.0,231.0
71.0,0.0,213.0,1.0,0.0,1.0,0.0,2.0,0.0,248.0
72.0,0.0,249.0,1.0,0.0,1.0,0.0,6.0,0.0,171.0
73.0,1.0,246.0,1.0,0.0,1.0,0.0,7.0,0.0,146.0
74.0,0.0,226.0,1.0,0.0,1.0,0.0,3.0,0.0,131.0
75.0,107.0,345.0,0.0,1.0,1.0,0.0,30.0,2.0,2.0
76.0,739.0,436.0,0.0,1.0,0.0,1.0,43.0,30.0,0.0
77.0,867.0,660.0,1.0,0.0,0.0,1.0,48.0,63.0,1.0
78.0,589.0,1005.0,0.0,1.0,0.0,1.0,51.0,76.0,0.0
79.0,232.0,1391.0,0.0,1.0,0.0,1.0,45.0,87.0,4.0
80.0,1.0,1366.0,1.0,0.0,1.0,0.0,5.0,69.0,430.0
81.0,0.0,609.0,1.0,0.0,1.0,0.0,3.0,39.0,1281.0
82.0,0.0,336.0,1.0,0.0,1.0,0.0,4.0,21.0,1415.0
83.0,0.0,253.0,1.0,0.0,1.0,0.0,5.0,16.0,1362.0
84.0,0.0,189.0,1.0,0.0,1.0,0.0,3.0,12.0,1207.0
85.0,0.0,217.0,1.0,0.0,1.0,0.0,6.0,7.0,1016.0
86.0,0.0,235.0,1.0,0.0,1.0,0.0,3.0,3.0,843.0
