time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,798.0,66.0,0.0,1.0,0.0,1.0,40.0,25.0,0.0
2.0,1002.0,240.0,0.0,1.0,0.0,1.0,61.0,53.0,0.0
3.0,876.0,555.0,0.0,1.0,0.0,1.0,56.0,65.0,1.0
4.0,594.0,913.0,0.0,1.0,1.0,0.0,46.0,71.0,0.0
5.0,306.0,1289.0,1.0,0.0,0.0,1.0,43.0,77.0,1.0
6.0,187.0,1678.0,0.0,1.0,0.0,1.0,39.0,72.0,5.0
7.0,1.0,1248.0,1.0,0.0,1.0,0.0,3.0,49.0,684.0
8.0,0.0,635.0,1.0,0.0,1.0,0.0,3.0,33.0,1292.0
9.0,0.0,337.0,1.0,0.0,1.0,0.0,4.0,18.0,1447.0
10.0,0.0,251.0,1.0,0.0,1.0,0.0,5.0,13.0,1321.0
11.0,0.0,277.0,1.0,0.0,1.0,0.0,5.0,6.0,1115.0
12.0,0.0,331.0,1.0,0.0,1.0,0.0,4.0,7.0,914.0
13.0,0.0,263.0,1.0,0.0,1.0,0.0,3.0,2.0,842.0
14.0,1.0,312.0,1.0,0.0,1.0,0.0,11.0,2.0,647.0
15.0,0.0,333.0,1.0,0.0,1.0,0.0,8.0,1.0,527.0
16.0,0.0,247.0,1.0,0.0,1.0,0.0,6.0,0.0,522.0
17.0,0.0,253.0,1.0,0.0,1.0,0.0,8.0,0.0,411.0
18.0,0.0,359.0,1.0,0.0,1.0,0.0,10.0,0.0,227.0
19.0,1.0,285.0,1.0,0.0,1.0,0.0,6.0,0.0,255.0
20.0,0.0,205.0,1.0,0.0,1.0,0.0,3.0,0.0,271.0
21.0,0.0,230.0,1.0,0.0,1.0,0.0,4.0,0.0,203.0
22.0,1.0,209.0,1.0,0.0,1.0,0.0,6.0,0.0,180.0
23.0,0.0,252.0,1.0,0.0,1.0,0.0,4.0,2.0,114.0
24.0,0.0,240.0,1.0,0.0,1.0,0.0,2.0,2.0,113.0
25.0,0.0,223.0,1.0,0.0,1.0,0.0,6.0,0.0,111.0
26.0,0.0,219.0,1.0,0.0,1.0,0.0,2.0,0.0,90.0
27.0,2.0,256.0,1.0,0.0,1.0,0.0,5.0,0.0,46.0
