time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,684.0,50.0,0.0,1.0,0.0,1.0,44.0,22.0,0.0
2.0,944.0,225.0,0.0,1.0,0.0,1.0,54.0,43.0,0.0
3.0,882.0,496.0,0.0,1.0,0.0,1.0,43.0,65.0,0.0
4.0,600.0,809.0,0.0,1.0,0.0,1.0,53.0,71.0,1.0
5.0,385.0,1164.0,0.0,1.0,0.0,1.0,34.0,73.0,2.0
6.0,239.0,1546.0,0.0,1.0,0.0,1.0,38.0,79.0,4.0
7.0,1.0,1720.0,1.0,0.0,1.0,0.0,14.0,66.0,217.0
8.0,0.0,812.0,1.0,0.0,1.0,0.0,4.0,41.0,1240.0
9.0,0.0,476.0,1.0,0.0,1.0,0.0,6.0,26.0,1398.0
10.0,0.0,341.0,1.0,0.0,1.0,0.0,7.0,18.0,1392.0
11.0,0.0,263.0,1.0,0.0,1.0,0.0,2.0,8.0,1273.0
12.0,0.0,255.0,1.0,0.0,1.0,0.0,3.0,6.0,1084.0
13.0,0.0,257.0,1.0,0.0,1.0,0.0,3.0,4.0,920.0
14.0,0.0,312.0,1.0,0.0,1.0,0.0,5.0,2.0,713.0
15.0,1.0,295.0,1.0,0.0,1.0,0.0,5.0,2.0,618.0
16.0,0.0,235.0,1.0,0.0,1.0,0.0,4.0,2.0,554.0
17.0,0.0,218.0,1.0,0.0,1.0,0.0,4.0,1.0,490.0
18.0,0.0,273.0,1.0,0.0,1.0,0.0,4.0,1.0,355.0
19.0,0.0,224.0,1.0,0.0,1.0,0.0,5.0,1.0,337.0
20.0,0.0,292.0,1.0,0.0,1.0,0.0,6.0,1.0,220.0
21.0,2.0,258.0,1.0,0.0,1.0,0.0,4.0,1.0,219.0
22.0,0.0,247.0,1.0,0.0,1.0,0.0,3.0,1.0,199.0
23.0,3.0,359.0,1.0,0.0,1.0,0.0,9.0,0.0,60.0
24.0,2.0,298.0,1.0,0.0,1.0,0.0,8.0,0.0,104.0
25.0,0.0,261.0,1.0,0.0,1.0,0.0,1.0,0.0,117.0
26.0,6.0,308.0,1.0,0.0,1.0,0.0,18.0,1.0,52.0
27.0,198.0,369.0,0.0,1.0,0.0,1.0,29.0,12.0,3.0
28.0,694.0,522.0,0.0,1.0,1.0,0.0,50.0,48.0,1.0
29.0,637.0,791.0,0.0,1.0,0.0,1.0,39.0,71.0,1.0
30.0,395.0,1153.0,0.0,1.0,0.0,1.0,43.0,81.0,1.0
31.0,176.0,1592.0,1.0,0.0,0.0,1.0,52.0,79.0,4.0
32.0,2.0,1788.0,1.0,0.0,1.0,0.0,15.0,75.0,170.0
33.0,0.0,788.0,1.0,0.0,1.0,0.0,1.0,37.0,1296.0
34.0,0.0,496.0,1.0,0.0,1.0,0.0,9.0,24.0,1461.0
35.0,0.0,335.0,1.0,0.0,1.0,0.0,4.0,19.0,1410.0
36.0,0.0,274.0,1.0,0.0,1.0,0.0,6.0,14.0,1276.0
37.0,0.0,228.0,1.0,0.0,1.0,0.0,4.0,6.0,1129.0
38.0,0.0,199.0,1.0,0.0,1.0,0.0,5.0,1.0,988.0
39.0,0.0,176.0,1.0,0.0,1.0,0.0,3.0,0.0,837.0
40.0,0.0,211.0,1.0,0.0,1.0,0.0,4.0,0.0,628.0
41.0,0.0,209.0,1.0,0.0,1.0,0.0,4.0,0.0,511.0
42.0,2.0,194.0,1.0,0.0,1.0,0.0,7.0,0.0,437.0
43.0,1.0,299.0,1.0,0.0,1.0,0.0,5.0,0.0,271.0
44.0,1.0,314.0,1.0,0.0,1.0,0.0,6.0,0.0,214.0
