time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,642.0,79.0,0.0,1.0,0.0,1.0,41.0,22.0,0.0
2.0,755.0,250.0,0.0,1.0,0.0,1.0,43.0,53.0,0.0
3.0,718.0,597.0,0.0,1.0,0.0,1.0,38.0,69.0,2.0
4.0,560.0,914.0,0.0,1.0,0.0,1.0,42.0,75.0,0.0
5.0,189.0,1273.0,1.0,0.0,1.0,0.0,43.0,71.0,6.0
6.0,1.0,1235.0,1.0,0.0,1.0,0.0,6.0,55.0,367.0
7.0,1.0,671.0,1.0,0.0,1.0,0.0,4.0,30.0,992.0
8.0,1.0,394.0,1.0,0.0,1.0,0.0,5.0,15.0,1144.0
9.0,0.0,352.0,1.0,0.0,1.0,0.0,7.0,9.0,1021.0
10.0,0.0,243.0,1.0,0.0,1.0,0.0,8.0,5.0,992.0
11.0,0.0,267.0,1.0,0.0,1.0,0.0,5.0,2.0,827.0
12.0,0.0,213.0,1.0,0.0,1.0,0.0,7.0,1.0,711.0
13.0,0.0,223.0,1.0,0.0,1.0,0.0,6.0,1.0,574.0
14.0,0.0,237.0,1.0,0.0,1.0,0.0,2.0,1.0,470.0
15.0,0.0,214.0,1.0,0.0,1.0,0.0,5.0,1.0,408.0
16.0,0.0,184.0,1.0,0.0,1.0,0.0,1.0,1.0,367.0
17.0,2.0,195.0,1.0,0.0,1.0,0.0,5.0,0.0,290.0
18.0,5.0,243.0,0.0,1.0,1.0,0.0,19.0,0.0,189.0
19.0,12.0,396.0,1.0,0.0,1.0,0.0,12.0,1.0,20.0
20.0,638.0,469.0,1.0,0.0,0.0,1.0,52.0,20.0,0.0
21.0,740.0,631.0,0.0,1.0,0.0,1.0,56.0,37.0,1.0
22.0,638.0,864.0,0.0,1.0,1.0,0.0,38.0,52.0,0.0
23.0,628.0,1122.0,0.0,1.0,0.0,1.0,55.0,60.0,0.0
24.0,331.0,1438.0,0.0,1.0,1.0,0.0,50.0,74.0,3.0
25.0,5.0,1779.0,1.0,0.0,1.0,0.0,21.0,76.0,67.0
26.0,0.0,855.0,1.0,0.0,1.0,0.0,6.0,38.0,1150.0
27.0,0.0,477.0,1.0,0.0,1.0,0.0,9.0,19.0,1418.0
28.0,0.0,330.0,1.0,0.0,1.0,0.0,3.0,10.0,1375.0
29.0,0.0,237.0,1.0,0.0,1.0,0.0,4.0,5.0,1221.0
30.0,0.0,198.0,1.0,0.0,1.0,0.0,2.0,3.0,1077.0
31.0,1.0,251.0,1.0,0.0,1.0,0.0,6.0,1.0,841.0
32.0,0.0,282.0,1.0,0.0,1.0,0.0,6.0,1.0,684.0
33.0,1.0,269.0,1.0,0.0,1.0,0.0,6.0,0.0,554.0
34.0,0.0,222.0,1.0,0.0,1.0,0.0,6.0,0.0,508.0
35.0,0.0,262.0,1.0,0.0,1.0,0.0,2.0,0.0,378.0
36.0,0.0,271.0,1.0,0.0,1.0,0.0,3.0,0.0,302.0
37.0,0.0,273.0,1.0,0.0,1.0,0.0,2.0,0.0,243.0
38.0,4.0,389.0,1.0,0.0,1.0,0.0,8.0,1.0,89.0
39.0,0.0,250.0,1.0,0.0,1.0,0.0,3.0,1.0,198.0
40.0,0.0,206.0,1.0,0.0,1.0,0.0,3.0,0.0,193.0
41.0,2.0,258.0,1.0,0.0,1.0,0.0,5.0,0.0,116.0
42.0,1.0,254.0,1.0,0.0,1.0,0.0,9.0,0.0,94.0
43.0,2.0,280.0,1.0,0.0,1.0,0.0,6.0,0.0,62.0
44.0,640.0,394.0,0.0,1.0,1.0,0.0,56.0,31.0,0.0
45.0,896.0,585.0,0.0,1.0,0.0,1.0,54.0,54.0,0.0
46.0,771.0,880.0,0.0,1.0,0.0,1.0,53.0,55.0,0.0
47.0,438.0,1190.0,0.0,1.0,0.0,1.0,56.0,66.0,4.0
48.0,150.0,1538.0,1.0,0.0,0.0,1.0,46.0,75.0,5.0
