time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,855.0,63.0,0.0,1.0,0.0,1.0,50.0,21.0,0.0
2.0,971.0,260.0,0.0,1.0,0.0,1.0,51.0,55.0,2.0
3.0,631.0,618.0,0.0,1.0,1.0,0.0,50.0,78.0,0.0
4.0,448.0,1019.0,0.0,1.0,0.0,1.0,42.0,83.0,0.0
5.0,215.0,1399.0,0.0,1.0,0.0,1.0,37.0,79.0,1.0
6.0,34.0,1752.0,0.0,1.0,1.0,0.0,36.0,71.0,31.0
7.0,0.0,976.0,1.0,0.0,1.0,0.0,3.0,44.0,1007.0
8.0,0.0,485.0,1.0,0.0,1.0,0.0,4.0,28.0,1455.0
9.0,0.0,279.0,1.0,0.0,1.0,0.0,4.0,17.0,1473.0
10.0,0.0,210.0,1.0,0.0,1.0,0.0,6.0,11.0,1307.0
11.0,0.0,260.0,1.0,0.0,1.0,0.0,3.0,8.0,1050.0
12.0,0.0,227.0,1.0,0.0,1.0,0.0,3.0,5.0,928.0
13.0,0.0,266.0,1.0,0.0,1.0,0.0,7.0,5.0,761.0
14.0,0.0,353.0,1.0,0.0,1.0,0.0,11.0,3.0,534.0
15.0,2.0,322.0,1.0,0.0,1.0,0.0,4.0,0.0,467.0
16.0,1.0,246.0,1.0,0.0,1.0,0.0,2.0,1.0,433.0
17.0,0.0,215.0,1.0,0.0,1.0,0.0,3.0,1.0,386.0
18.0,0.0,230.0,1.0,0.0,1.0,0.0,3.0,0.0,308.0
19.0,1.0,246.0,1.0,0.0,1.0,0.0,7.0,0.0,238.0
20.0,0.0,212.0,1.0,0.0,1.0,0.0,3.0,0.0,222.0
21.0,0.0,235.0,1.0,0.0,1.0,0.0,5.0,0.0,169.0
22.0,2.0,239.0,1.0,0.0,1.0,0.0,4.0,0.0,119.0
23.0,1.0,293.0,1.0,0.0,1.0,0.0,5.0,2.0,61.0
24.0,341.0,370.0,0.0,1.0,1.0,0.0,43.0,10.0,0.0
25.0,740.0,510.0,1.0,0.0,0.0,1.0,50.0,38.0,1.0
26.0,789.0,728.0,0.0,1.0,0.0,1.0,48.0,57.0,0.0
27.0,460.0,1050.0,0.0,1.0,0.0,1.0,49.0,63.0,1.0
28.0,380.0,1383.0,0.0,1.0,1.0,0.0,39.0,74.0,5.0
29.0,0.0,1304.0,1.0,0.0,1.0,0.0,4.0,60.0,409.0
30.0,0.0,596.0,1.0,0.0,1.0,0.0,3.0,40.0,1151.0
31.0,0.0,363.0,1.0,0.0,1.0,0.0,6.0,26.0,1271.0
32.0,0.0,290.0,1.0,0.0,1.0,0.0,6.0,16.0,1182.0
33.0,0.0,222.0,1.0,0.0,1.0,0.0,2.0,7.0,1086.0
34.0,0.0,254.0,1.0,0.0,1.0,0.0,5.0,4.0,904.0
35.0,1.0,244.0,1.0,0.0,1.0,0.0,4.0,3.0,742.0
36.0,0.0,245.0,1.0,0.0,1.0,0.0,5.0,2.0,625.0
37.0,0.0,257.0,1.0,0.0,1.0,0.0,4.0,1.0,499.0
38.0,1.0,234.0,1.0,0.0,1.0,0.0,6.0,1.0,433.0
39.0,0.0,243.0,1.0,0.0,1.0,0.0,5.0,1.0,347.0
40.0,0.0,286.0,1.0,0.0,1.0,0.0,3.0,1.0,253.0
