time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,591.0,55.0,0.0,1.0,0.0,1.0,34.0,23.0,1.0
2.0,739.0,230.0,0.0,1.0,0.0,1.0,39.0,49.0,1.0
3.0,843.0,516.0,0.0,1.0,0.0,1.0,52.0,58.0,1.0
4.0,622.0,832.0,0.0,1.0,0.0,1.0,46.0,74.0,4.0
5.0,367.0,1168.0,0.0,1.0,0.0,1.0,36.0,67.0,3.0
6.0,34.0,1488.0,0.0,1.0,1.0,0.0,42.0,69.0,24.0
7.0,0.0,1007.0,1.0,0.0,1.0,0.0,4.0,41.0,727.0
8.0,0.0,552.0,1.0,0.0,1.0,0.0,5.0,24.0,1143.0
9.0,0.0,363.0,1.0,0.0,1.0,0.0,2.0,19.0,1224.0
10.0,0.0,273.0,1.0,0.0,1.0,0.0,4.0,11.0,1165.0
11.0,0.0,251.0,1.0,0.0,1.0,0.0,8.0,8.0,1008.0
12.0,0.0,287.0,1.0,0.0,1.0,0.0,7.0,5.0,813.0
13.0,0.0,177.0,1.0,0.0,1.0,0.0,3.0,1.0,740.0
14.0,0.0,159.0,1.0,0.0,1.0,0.0,5.0,1.0,636.0
15.0,0.0,207.0,1.0,0.0,1.0,0.0,2.0,1.0,479.0
16.0,1.0,267.0,1.0,0.0,1.0,0.0,5.0,1.0,335.0
17.0,0.0,273.0,1.0,0.0,1.0,0.0,5.0,1.0,271.0
18.0,1.0,261.0,1.0,0.0,1.0,0.0,9.0,1.0,226.0
19.0,11.0,450.0,1.0,0.0,1.0,0.0,16.0,3.0,27.0
20.0,238.0,480.0,0.0,1.0,0.0,1.0,46.0,6.0,0.0
21.0,716.0,594.0,0.0,1.0,0.0,1.0,61.0,40.0,0.0
22.0,670.0,864.0,0.0,1.0,0.0,1.0,48.0,66.0,2.0
23.0,436.0,1251.0,0.0,1.0,0.0,1.0,50.0,78.0,3.0
24.0,405.0,1663.0,0.0,1.0,0.0,1.0,54.0,78.0,4.0
25.0,70.0,2035.0,0.0,1.0,0.0,1.0,45.0,80.0,17.0
26.0,0.0,1062.0,1.0,0.0,1.0,0.0,1.0,47.0,1203.0
27.0,0.0,565.0,1.0,0.0,1.0,0.0,7.0,33.0,1611.0
28.0,0.0,414.0,1.0,0.0,1.0,0.0,5.0,19.0,1573.0
29.0,1.0,297.0,1.0,0.0,1.0,0.0,10.0,11.0,1449.0
30.0,0.0,210.0,1.0,0.0,1.0,0.0,4.0,7.0,1304.0
31.0,0.0,261.0,1.0,0.0,1.0,0.0,3.0,2.0,1013.0
32.0,0.0,263.0,1.0,0.0,1.0,0.0,3.0,2.0,848.0
33.0,0.0,240.0,1.0,0.0,1.0,0.0,6.0,2.0,733.0
34.0,0.0,187.0,1.0,0.0,1.0,0.0,3.0,0.0,654.0
35.0,0.0,253.0,1.0,0.0,1.0,0.0,7.0,0.0,490.0
36.0,0.0,223.0,1.0,0.0,1.0,0.0,5.0,0.0,423.0
37.0,1.0,235.0,1.0,0.0,1.0,0.0,3.0,0.0,347.0
38.0,1.0,264.0,1.0,0.0,1.0,0.0,6.0,0.0,257.0
39.0,1.0,295.0,1.0,0.0,1.0,0.0,6.0,1.0,175.0
40.0,1.0,289.0,1.0,0.0,1.0,0.0,7.0,1.0,158.0
41.0,0.0,228.0,1.0,0.0,1.0,0.0,3.0,1.0,195.0
42.0,1.0,223.0,1.0,0.0,1.0,0.0,2.0,2.0,173.0
43.0,1.0,182.0,1.0,0.0,1.0,0.0,4.0,1.0,183.0
44.0,1.0,203.0,1.0,0.0,1.0,0.0,8.0,1.0,140.0
45.0,477.0,352.0,0.0,1.0,0.0,1.0,43.0,19.0,0.0
46.0,653.0,527.0,0.0,1.0,0.0,1.0,41.0,53.0,0.0
47.0,553.0,849.0,0.0,1.0,0.0,1.0,41.0,72.0,0.0
48.0,276.0,1211.0,0.0,1.0,0.0,1.0,49.0,75.0,3.0
49.0,212.0,1604.0,0.0,1.0,0.0,1.0,54.0,72.0,7.0
50.0,0.0,1181.0,1.0,0.0,1.0,0.0,4.0,46.0,718.0
51.0,0.0,622.0,1.0,0.0,1.0,0.0,7.0,32.0,1239.0
52.0,0.0,339.0,1.0,0.0,1.0,0.0,7.0,16.0,1377.0
53.0,0.0,257.0,1.0,0.0,1.0,0.0,4.0,13.0,1238.0
54.0,0.0,256.0,1.0,0.0,1.0,0.0,5.0,11.0,1071.0
55.0,0.0,228.0,1.0,0.0,1.0,0.0,3.0,9.0,934.0
56.0,0.0,204.0,1.0,0.0,1.0,0.0,4.0,6.0,842.0
57.0,0.0,178.0,1.0,0.0,1.0,0.0,1.0,5.0,743.0
58.0,0.0,165.0,1.0,0.0,1.0,0.0,3.0,2.0,637.0
59.0,0.0,189.0,1.0,0.0,1.0,0.0,3.0,0.0,513.0
60.0,0.0,237.0,1.0,0.0,1.0,0.0,6.0,0.0,385.0
61.0,2.0,319.0,1.0,0.0,1.0,0.0,7.0,0.0,240.0
62.0,1.0,451.0,1.0,0.0,1.0,0.0,10.0,0.0,90.0
63.0,1.0,392.0,1.0,0.0,1.0,0.0,9.0,0.0,112.0
64.0,5.0,453.0,1.0,0.0,1.0,0.0,7.0,0.0,36.0
65.0,437.0,520.0,0.0,1.0,0.0,1.0,39.0,25.0,0.0
66.0,553.0,736.0,0.0,1.0,0.0,1.0,37.0,55.0,0.0
67.0,558.0,1076.0,0.0,1.0,0.0,1.0,45.0,73.0,4.0
68.0,98.0,1453.0,0.0,1.0,0.0,1.0,39.0,80.0,10.0
69.0,0.0,941.0,1.0,0.0,1.0,0.0,7.0,59.0,805.0
70.0,0.0,511.0,1.0,0.0,1.0,0.0,3.0,35.0,1231.0
71.0,0.0,395.0,1.0,0.0,1.0,0.0,3.0,17.0,1208.0
72.0,0.0,341.0,1.0,0.0,1.0,0.0,1.0,9.0,1068.0
73.0,0.0,261.0,1.0,0.0,1.0,0.0,1.0,7.0,963.0
74.0,0.0,207.0,1.0,0.0,1.0,0.0,5.0,6.0,858.0
